ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,645,1,2024-10-24,SAC,,MIN,"L, 115-117",0,05:40,1,1,1.000,0,0,,1,1,1.000,1.000,1,2,.500,0,2,2,0,0,1,1,1,3,2.2,0
2,646,2,2024-10-26,SAC,@,LAL,"L, 127-131",0,09:17,0,2,.000,0,1,.000,0,1,.000,.000,0,0,,0,2,2,1,0,1,2,1,0,-1.8,-9
3,647,3,2024-10-28,SAC,,POR,"W, 111-98",0,07:06,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,1,1,4,1,0,0,2,0,2.6,-5
4,648,4,2024-10-29,SAC,@,UTA,"W, 113-96",0,05:16,1,1,1.000,0,0,,1,1,1.000,1.000,0,0,,0,4,4,0,0,0,0,0,2,2.9,-7
4,,5,2024-11-01,SAC,@,ATL,"W, 123-115",Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,
4,,6,2024-11-02,SAC,@,TOR,"L, 128-131 (OT)",Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,
5,649,7,2024-11-04,SAC,@,MIA,"W, 111-110",0,10:03,0,1,.000,0,1,.000,0,0,,.000,0,0,,0,1,1,1,1,1,1,1,0,0.6,-7
6,650,8,2024-11-06,SAC,,TOR,"W, 122-107",0,14:25,1,1,1.000,0,0,,1,1,1.000,1.000,1,2,.500,0,6,6,0,0,4,1,1,3,5.5,-1
7,651,9,2024-11-08,SAC,,LAC,"L, 98-107",0,08:49,0,0,,0,0,,0,0,,,0,0,,0,3,3,0,0,0,0,1,0,0.5,-9
7,,10,2024-11-10,SAC,@,PHO,"W, 127-118 (OT)",Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,
8,652,11,2024-11-11,SAC,@,SAS,"L, 96-116",0,01:23,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-4
