ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,208,1,2024-10-22,LAL,,MIN,"W, 110-103",1,36:02,6,14,.429,0,5,.000,6,9,.667,.429,0,1,.000,4,5,9,4,1,1,0,4,12,11.4,12
2,209,2,2024-10-25,LAL,,PHO,"W, 123-116",1,36:39,8,12,.667,5,7,.714,3,5,.600,.875,5,6,.833,0,4,4,8,3,1,4,4,26,25.3,13
3,210,3,2024-10-26,LAL,,SAC,"W, 131-127",1,33:32,7,12,.583,2,4,.500,5,8,.625,.667,0,0,,4,3,7,6,0,0,6,3,16,11.1,-20
4,211,4,2024-10-28,LAL,@,PHO,"L, 105-109",1,37:51,8,15,.533,5,9,.556,3,6,.500,.700,2,3,.667,0,8,8,3,2,0,1,3,23,19.6,12
5,212,5,2024-10-30,LAL,@,CLE,"L, 110-134",1,27:50,2,6,.333,1,4,.250,1,2,.500,.417,2,2,1.000,0,2,2,3,0,0,4,0,7,2.3,-14
6,213,6,2024-11-01,LAL,@,TOR,"W, 131-125",1,34:18,4,13,.308,0,6,.000,4,7,.571,.308,12,14,.857,0,1,1,6,2,1,1,3,20,16.7,-3
7,214,7,2024-11-04,LAL,@,DET,"L, 103-115",1,39:21,7,17,.412,3,10,.300,4,7,.571,.500,0,1,.000,1,3,4,4,2,0,4,4,17,8.3,-14
8,215,8,2024-11-06,LAL,@,MEM,"L, 114-131",1,34:56,7,17,.412,2,9,.222,5,8,.625,.471,3,4,.750,0,3,3,5,3,0,1,1,19,15.5,-9
9,216,9,2024-11-08,LAL,,PHI,"W, 116-106",1,29:56,7,13,.538,6,10,.600,1,3,.333,.769,0,0,,0,6,6,7,0,1,2,1,20,18.7,14
10,217,10,2024-11-10,LAL,,TOR,"W, 123-103",1,32:35,10,17,.588,3,9,.333,7,8,.875,.676,4,5,.800,0,1,1,6,1,0,0,4,27,22.6,11
11,218,11,2024-11-13,LAL,,MEM,"W, 128-123",1,35:52,5,14,.357,3,11,.273,2,3,.667,.464,5,7,.714,0,2,2,6,1,0,3,4,18,10.6,-1
12,219,12,2024-11-15,LAL,@,SAS,"W, 120-115",1,32:04,6,12,.500,5,9,.556,1,3,.333,.708,2,2,1.000,1,2,3,6,0,0,0,3,19,17.3,-8
13,220,13,2024-11-16,LAL,@,NOP,"W, 104-99",1,40:50,3,15,.200,2,9,.222,1,6,.167,.267,2,2,1.000,1,1,2,7,1,0,0,1,10,7.2,9
14,221,14,2024-11-19,LAL,,UTA,"W, 124-118",1,33:22,6,14,.429,3,7,.429,3,7,.429,.536,2,2,1.000,0,0,0,5,0,0,3,1,17,9.7,4
15,222,15,2024-11-21,LAL,,ORL,"L, 118-119",1,32:54,3,12,.250,1,4,.250,2,8,.250,.292,2,5,.400,1,1,2,3,1,0,2,0,9,2.7,-8
16,223,16,2024-11-23,LAL,,DEN,"L, 102-127",1,31:51,7,13,.538,3,7,.429,4,6,.667,.654,2,2,1.000,1,2,3,6,1,0,3,1,19,15.8,-22
17,224,17,2024-11-26,LAL,@,PHO,"L, 100-127",1,30:36,6,12,.500,2,6,.333,4,6,.667,.583,1,1,1.000,1,2,3,2,2,0,1,0,15,12.7,-16
18,225,18,2024-11-27,LAL,@,SAS,"W, 119-101",1,31:27,5,11,.455,3,6,.500,2,5,.400,.591,0,0,,0,2,2,2,0,0,3,1,13,5.9,8
19,226,19,2024-11-29,LAL,,OKC,"L, 93-101",1,29:11,3,11,.273,1,9,.111,2,2,1.000,.318,4,5,.800,1,4,5,3,0,0,5,3,11,1.9,-8
19,,20,2024-12-01,LAL,@,UTA,"W, 105-104",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
19,,21,2024-12-02,LAL,@,MIN,"L, 80-109",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
19,,22,2024-12-04,LAL,@,MIA,"L, 93-134",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
19,,23,2024-12-06,LAL,@,ATL,"L, 132-134 (OT)",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
19,,24,2024-12-08,LAL,,POR,"W, 107-98",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
20,227,25,2024-12-13,LAL,@,MIN,"L, 87-97",1,29:40,6,16,.375,4,8,.500,2,8,.250,.500,2,2,1.000,2,4,6,6,0,0,2,5,18,12.0,-2
21,228,26,2024-12-15,LAL,,MEM,"W, 116-110",1,35:46,6,15,.400,2,8,.250,4,7,.571,.467,5,5,1.000,0,2,2,8,2,0,1,4,19,16.5,11
22,229,27,2024-12-19,LAL,@,SAC,"W, 113-100",1,34:55,7,14,.500,3,7,.429,4,7,.571,.607,8,9,.889,0,6,6,5,2,0,1,0,25,23.9,9
23,230,28,2024-12-21,LAL,@,SAC,"W, 103-99",1,35:56,6,14,.429,1,7,.143,5,7,.714,.464,3,5,.600,2,2,4,5,0,0,2,1,16,10.9,10
24,231,29,2024-12-23,LAL,,DET,"L, 114-117",1,36:53,5,9,.556,2,5,.400,3,4,.750,.667,0,0,,0,7,7,2,2,0,6,2,12,6.4,16
25,232,30,2024-12-25,LAL,@,GSW,"W, 115-113",1,36:40,8,20,.400,4,10,.400,4,10,.400,.500,6,6,1.000,2,8,10,10,1,0,3,0,26,24.0,-4
26,233,31,2024-12-28,LAL,,SAC,"W, 132-122",1,42:36,9,16,.563,3,4,.750,6,12,.500,.656,5,8,.625,1,5,6,16,0,0,5,3,26,24.4,15
27,234,32,2024-12-31,LAL,,CLE,"L, 110-122",1,37:57,11,20,.550,1,4,.250,10,16,.625,.575,12,13,.923,1,8,9,10,1,0,4,2,35,31.3,-3
28,235,33,2025-01-02,LAL,,POR,"W, 114-106",1,36:26,5,15,.333,2,9,.222,3,6,.500,.400,3,3,1.000,2,6,8,11,2,0,3,3,15,15.2,10
29,236,34,2025-01-03,LAL,,ATL,"W, 119-102",1,38:39,6,18,.333,3,7,.429,3,11,.273,.417,5,6,.833,4,3,7,6,0,0,6,1,20,10.9,18
30,237,35,2025-01-05,LAL,@,HOU,"L, 115-119",1,41:19,6,13,.462,3,6,.500,3,7,.429,.577,6,7,.857,0,0,0,10,0,0,0,2,21,20.1,12
31,238,36,2025-01-07,LAL,@,DAL,"L, 97-118",1,32:05,5,14,.357,4,11,.364,1,3,.333,.500,1,2,.500,0,2,2,1,3,0,1,1,15,9.7,-25
32,239,37,2025-01-13,LAL,,SAS,"L, 102-126",1,33:29,4,13,.308,2,7,.286,2,6,.333,.385,2,2,1.000,1,4,5,8,0,0,4,3,12,6.8,-18
33,240,38,2025-01-15,LAL,,MIA,"W, 117-108",1,35:14,5,9,.556,2,3,.667,3,6,.500,.667,2,2,1.000,0,3,3,14,3,0,1,4,14,20.8,14
34,241,39,2025-01-17,LAL,,BRK,"W, 102-101",1,37:05,13,23,.565,4,8,.500,9,15,.600,.652,8,8,1.000,0,3,3,3,2,1,0,2,38,32.0,1
