ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,346.0,1,2023-10-25,NYK,,BOS,"L, 104-108",1,32:35,6.0,21.0,0.286,3.0,8.0,0.375,3.0,13.0,0.231,0.357,0.0,1.0,0.0,1.0,2.0,3.0,6.0,3.0,0.0,2.0,3.0,15.0,7.6,-9.0
2,347.0,2,2023-10-27,NYK,@,ATL,"W, 126-120",1,32:42,11.0,21.0,0.524,8.0,12.0,0.667,3.0,9.0,0.333,0.714,1.0,2.0,0.5,0.0,3.0,3.0,5.0,0.0,0.0,2.0,1.0,31.0,22.3,13.0
3,348.0,3,2023-10-28,NYK,@,NOP,"L, 87-96",1,30:35,4.0,14.0,0.286,1.0,5.0,0.2,3.0,9.0,0.333,0.321,5.0,6.0,0.833,1.0,3.0,4.0,5.0,0.0,0.0,1.0,2.0,14.0,8.7,-9.0
4,349.0,4,2023-10-31,NYK,@,CLE,"W, 109-91",1,33:40,7.0,16.0,0.438,1.0,3.0,0.333,6.0,13.0,0.462,0.469,4.0,5.0,0.8,0.0,5.0,5.0,2.0,2.0,0.0,5.0,1.0,19.0,9.7,21.0
5,350.0,5,2023-11-01,NYK,,CLE,"L, 89-95",1,38:36,8.0,23.0,0.348,0.0,2.0,0.0,8.0,21.0,0.381,0.348,8.0,9.0,0.889,1.0,3.0,4.0,4.0,0.0,0.0,1.0,4.0,24.0,12.5,-6.0
6,351.0,6,2023-11-03,NYK,@,MIL,"L, 105-110",1,41:37,17.0,30.0,0.567,2.0,8.0,0.25,15.0,22.0,0.682,0.6,9.0,11.0,0.818,2.0,3.0,5.0,4.0,1.0,0.0,4.0,3.0,45.0,30.9,2.0
7,352.0,7,2023-11-06,NYK,,LAC,"W, 111-97",1,35:12,2.0,12.0,0.167,1.0,3.0,0.333,1.0,9.0,0.111,0.208,2.0,2.0,1.0,2.0,1.0,3.0,6.0,3.0,0.0,4.0,1.0,7.0,3.9,-1.0
8,353.0,8,2023-11-08,NYK,,SAS,"W, 126-105",1,32:45,8.0,19.0,0.421,5.0,8.0,0.625,3.0,11.0,0.273,0.553,4.0,4.0,1.0,0.0,2.0,2.0,6.0,0.0,0.0,0.0,2.0,25.0,18.9,27.0
9,354.0,9,2023-11-12,NYK,,CHO,"W, 129-107",1,26:34,7.0,12.0,0.583,2.0,4.0,0.5,5.0,8.0,0.625,0.667,4.0,4.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,20.0,14.6,13.0
10,355.0,10,2023-11-13,NYK,@,BOS,"L, 98-114",1,38:46,10.0,21.0,0.476,3.0,7.0,0.429,7.0,14.0,0.5,0.548,3.0,5.0,0.6,0.0,3.0,3.0,4.0,1.0,0.0,2.0,0.0,26.0,17.2,-20.0
11,356.0,11,2023-11-15,NYK,@,ATL,"W, 116-114",1,40:58,8.0,19.0,0.421,6.0,10.0,0.6,2.0,9.0,0.222,0.579,2.0,2.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,3.0,2.0,24.0,15.7,8.0
12,357.0,12,2023-11-17,NYK,@,WAS,"W, 120-99",1,33:54,10.0,23.0,0.435,6.0,10.0,0.6,4.0,13.0,0.308,0.565,6.0,6.0,1.0,3.0,4.0,7.0,7.0,0.0,0.0,0.0,2.0,32.0,27.3,18.0
13,358.0,13,2023-11-18,NYK,@,CHO,"W, 122-108",1,38:52,12.0,21.0,0.571,4.0,8.0,0.5,8.0,13.0,0.615,0.667,4.0,4.0,1.0,0.0,4.0,4.0,7.0,0.0,0.0,2.0,2.0,32.0,25.4,15.0
