ranker,player_game_num_career,date,pts,blk,orb,drb,ast,stl,tov,fg3,fg,ft
1.0,37.0,2024-04-20,22.0,0.0,5.0,2.0,7.0,1.0,5.0,1.0,8.0,5.0
2.0,38.0,2024-04-22,24.0,0.0,0.0,8.0,6.0,0.0,1.0,1.0,8.0,7.0
3.0,39.0,2024-04-25,39.0,0.0,0.0,2.0,13.0,0.0,4.0,3.0,13.0,10.0
4.0,40.0,2024-04-28,47.0,1.0,0.0,4.0,10.0,0.0,1.0,2.0,18.0,9.0
5.0,41.0,2024-04-30,40.0,0.0,0.0,3.0,6.0,3.0,4.0,4.0,15.0,6.0
6.0,42.0,2024-05-02,41.0,0.0,0.0,3.0,12.0,0.0,2.0,3.0,13.0,12.0
,,,,,,,,,,,,
7.0,43.0,2024-05-06,43.0,1.0,1.0,5.0,6.0,0.0,4.0,1.0,14.0,14.0
8.0,44.0,2024-05-08,29.0,0.0,0.0,2.0,5.0,3.0,2.0,3.0,11.0,4.0
9.0,45.0,2024-05-10,26.0,0.0,0.0,0.0,6.0,1.0,5.0,2.0,10.0,4.0
10.0,46.0,2024-05-12,18.0,0.0,2.0,1.0,5.0,2.0,2.0,0.0,6.0,6.0
11.0,47.0,2024-05-14,44.0,0.0,0.0,4.0,7.0,0.0,3.0,2.0,18.0,6.0
12.0,48.0,2024-05-17,31.0,0.0,0.0,1.0,5.0,0.0,1.0,3.0,11.0,6.0
13.0,49.0,2024-05-19,17.0,0.0,0.0,0.0,9.0,0.0,1.0,1.0,6.0,4.0
