ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
,,1,2024-10-22,LAL,,MIN,"W, 110-103",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,2024-10-25,LAL,,PHO,"W, 123-116",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,2024-10-26,LAL,,SAC,"W, 131-127",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,2024-10-28,LAL,@,PHO,"L, 105-109",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,2024-10-30,LAL,@,CLE,"L, 110-134",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,2024-11-01,LAL,@,TOR,"W, 131-125",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,2024-11-04,LAL,@,DET,"L, 103-115",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
1,59,8,2024-11-06,LAL,@,MEM,"L, 114-131",0,13:20,1,2,.500,0,0,,1,2,.500,.500,0,0,,1,1,2,0,0,1,0,1,2,2.3,-4
2,60,9,2024-11-08,LAL,,PHI,"W, 116-106",0,01:28,0,0,,0,0,,0,0,,,0,0,,0,1,1,1,0,0,0,1,0,0.6,-4
2,,10,2024-11-10,LAL,,TOR,"W, 123-103",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
3,61,11,2024-11-13,LAL,,MEM,"W, 128-123",0,12:43,2,2,1.000,0,0,,2,2,1.000,1.000,0,0,,0,1,1,0,1,0,2,1,4,2.3,6
4,62,12,2024-11-15,LAL,@,SAS,"W, 120-115",0,09:51,1,2,.500,0,0,,1,2,.500,.500,0,0,,0,0,0,0,0,0,0,2,2,0.2,-6
5,63,13,2024-11-16,LAL,@,NOP,"W, 104-99",0,10:46,3,4,.750,0,1,.000,3,3,1.000,.750,0,0,,4,2,6,1,1,1,0,1,6,9.8,3
6,64,14,2024-11-19,LAL,,UTA,"W, 124-118",0,14:08,1,1,1.000,0,0,,1,1,1.000,1.000,0,0,,1,2,3,0,0,0,1,1,2,1.6,2
7,65,15,2024-11-21,LAL,,ORL,"L, 118-119",0,10:14,0,0,,0,0,,0,0,,,2,2,1.000,0,1,1,1,0,1,1,1,2,2.3,-1
8,66,16,2024-11-23,LAL,,DEN,"L, 102-127",0,10:20,0,0,,0,0,,0,0,,,0,0,,0,3,3,0,1,1,0,1,0,2.2,8
9,67,17,2024-11-26,LAL,@,PHO,"L, 100-127",0,01:03,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
10,68,18,2024-11-27,LAL,@,SAS,"W, 119-101",0,07:52,2,3,.667,0,0,,2,3,.667,.667,0,0,,1,0,1,0,1,0,0,2,4,3.6,4
10,,19,2024-11-29,LAL,,OKC,"L, 93-101",Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,
11,69,20,2024-12-01,LAL,@,UTA,"W, 105-104",0,09:12,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,0,0,0,0,0,0.3,-5
12,70,21,2024-12-02,LAL,@,MIN,"L, 80-109",0,07:41,1,2,.500,0,1,.000,1,1,1.000,.500,0,0,,0,2,2,0,0,0,1,1,2,0.2,-4
13,71,22,2024-12-04,LAL,@,MIA,"L, 93-134",0,13:20,2,3,.667,0,0,,2,3,.667,.667,0,0,,3,1,4,0,0,0,0,2,4,4.3,-12
13,,23,2024-12-06,LAL,@,ATL,"L, 132-134 (OT)",Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,
14,72,24,2024-12-08,LAL,,POR,"W, 107-98",0,15:51,1,3,.333,0,0,,1,3,.333,.333,0,0,,3,3,6,1,0,0,0,3,2,2.8,5
15,73,25,2024-12-13,LAL,@,MIN,"L, 87-97",0,11:46,0,0,,0,0,,0,0,,,0,0,,0,6,6,0,1,2,0,2,0,3.4,12
16,74,26,2024-12-15,LAL,,MEM,"W, 116-110",0,11:55,0,0,,0,0,,0,0,,,1,2,.500,0,0,0,0,0,0,0,2,1,-0.2,-11
17,75,27,2024-12-19,LAL,@,SAC,"W, 113-100",0,04:10,0,2,.000,0,0,,0,2,.000,.000,0,0,,0,1,1,0,0,1,0,1,0,-0.8,-6
18,76,28,2024-12-21,LAL,@,SAC,"W, 103-99",0,03:23,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-2
18,,29,2024-12-23,LAL,,DET,"L, 114-117",Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,
19,77,30,2024-12-25,LAL,@,GSW,"W, 115-113",0,08:54,1,1,1.000,0,0,,1,1,1.000,1.000,0,0,,4,2,6,0,0,1,1,0,2,4.8,7
20,78,31,2024-12-28,LAL,,SAC,"W, 132-122",0,04:47,2,2,1.000,0,0,,2,2,1.000,1.000,0,0,,1,0,1,0,0,0,1,1,4,2.7,-4
20,,32,2024-12-31,LAL,,CLE,"L, 110-122",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
21,79,33,2025-01-02,LAL,,POR,"W, 114-106",0,18:30,4,8,.500,0,0,,4,8,.500,.500,0,0,,6,2,8,3,1,0,0,2,8,11.1,8
21,,34,2025-01-03,LAL,,ATL,"W, 119-102",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
21,,35,2025-01-05,LAL,@,HOU,"L, 115-119",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
21,,36,2025-01-07,LAL,@,DAL,"L, 97-118",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
21,,37,2025-01-13,LAL,,SAS,"L, 102-126",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
21,,38,2025-01-15,LAL,,MIA,"W, 117-108",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
21,,39,2025-01-17,LAL,,BRK,"W, 102-101",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
22,80,40,2025-01-19,LAL,@,LAC,"L, 102-116",0,01:40,0,1,.000,0,0,,0,1,.000,.000,0,0,,1,0,1,0,0,0,0,0,0,0.0,1
22,,41,2025-01-21,LAL,,WAS,"W, 111-88",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
23,81,42,2025-01-23,LAL,,BOS,"W, 117-96",0,03:46,1,1,1.000,0,0,,1,1,1.000,1.000,0,0,,0,0,0,0,0,0,0,1,2,1.3,-2
24,82,43,2025-01-25,LAL,@,GSW,"W, 118-108",0,00:24,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
24,,44,2025-01-27,LAL,@,CHO,"W, 112-107",Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,
25,83,45,2025-01-28,LAL,@,PHI,"L, 104-118",0,17:35,1,1,1.000,0,0,,1,1,1.000,1.000,2,2,1.000,0,2,2,4,1,0,0,2,4,7.3,-7
26,84,46,2025-01-30,LAL,@,WAS,"W, 134-96",0,06:59,2,2,1.000,0,0,,2,2,1.000,1.000,0,0,,1,1,2,1,0,0,0,1,4,4.7,-2
27,85,47,2025-02-01,LAL,@,NYK,"W, 128-112",0,01:50,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
27,,48,2025-02-04,LAL,@,LAC,"W, 122-97",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
28,86,49,2025-02-06,LAL,,GSW,"W, 120-112",0,03:50,2,2,1.000,0,0,,2,2,1.000,1.000,0,0,,0,2,2,0,0,0,0,1,4,3.6,1
28,,50,2025-02-08,LAL,,IND,"W, 124-117",Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,
28,,51,2025-02-10,LAL,,UTA,"W, 132-113",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
29,87,52,2025-02-12,LAL,@,UTA,"L, 119-131",0,08:43,1,1,1.000,0,0,,1,1,1.000,1.000,2,2,1.000,2,2,4,0,0,0,0,0,4,5.7,-2
29,,53,2025-02-19,LAL,,CHO,"L, 97-100",Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,
29,,54,2025-02-20,LAL,@,POR,"W, 110-102",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
29,,55,2025-02-22,LAL,@,DEN,"W, 123-100",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
29,,56,2025-02-25,LAL,,DAL,"W, 107-99",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
29,,57,2025-02-27,LAL,,MIN,"W, 111-102",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
29,,58,2025-02-28,LAL,,LAC,"W, 106-102",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
29,,59,2025-03-02,LAL,,LAC,"W, 108-102",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
29,,60,2025-03-04,LAL,,NOP,"W, 136-115",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
