ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,1,1,2024-10-22,LAL,,MIN,"W, 110-103",0,15:47,2,4,.500,1,3,.333,1,1,1.000,.625,0,0,,0,1,1,2,1,0,1,1,5,4.3,7
2,2,2,2024-10-25,LAL,,PHO,"W, 123-116",0,13:19,2,5,.400,2,4,.500,0,1,.000,.600,2,2,1.000,0,1,1,2,1,0,0,0,8,8.0,13
3,3,3,2024-10-26,LAL,,SAC,"W, 131-127",0,20:10,4,7,.571,2,5,.400,2,2,1.000,.714,0,0,,0,0,0,1,0,0,1,3,10,5.2,16
4,4,4,2024-10-28,LAL,@,PHO,"L, 105-109",0,11:14,0,3,.000,0,1,.000,0,2,.000,.000,0,0,,0,1,1,0,0,0,0,0,0,-1.8,-13
5,5,5,2024-10-30,LAL,@,CLE,"L, 110-134",0,22:29,6,12,.500,2,7,.286,4,5,.800,.583,4,4,1.000,0,3,3,1,0,0,1,1,18,12.2,-11
6,6,6,2024-11-01,LAL,@,TOR,"W, 131-125",0,19:07,2,5,.400,1,3,.333,1,2,.500,.500,0,0,,1,2,3,1,0,0,1,2,5,2.5,4
7,7,7,2024-11-04,LAL,@,DET,"L, 103-115",0,08:41,2,2,1.000,1,1,1.000,1,1,1.000,1.250,0,0,,0,0,0,0,0,0,0,1,5,4.0,-8
8,8,8,2024-11-06,LAL,@,MEM,"L, 114-131",1,26:52,1,7,.143,1,7,.143,0,0,,.214,0,0,,3,1,4,2,1,0,1,2,3,1.5,-14
9,9,9,2024-11-08,LAL,,PHI,"W, 116-106",0,16:10,1,8,.125,0,5,.000,1,3,.333,.125,0,0,,0,4,4,0,0,0,0,0,2,-2.0,17
10,10,10,2024-11-10,LAL,,TOR,"W, 123-103",0,14:48,2,4,.500,1,2,.500,1,2,.500,.625,0,0,,0,1,1,2,0,0,0,0,5,4.7,14
11,11,11,2024-11-13,LAL,,MEM,"W, 128-123",0,31:08,7,8,.875,5,5,1.000,2,3,.667,1.188,0,0,,0,2,2,3,1,0,1,4,19,17.3,17
12,12,12,2024-11-15,LAL,@,SAS,"W, 120-115",1,26:01,6,11,.545,2,4,.500,4,7,.571,.636,0,0,,1,2,3,0,0,0,0,0,14,10.0,-9
13,13,13,2024-11-16,LAL,@,NOP,"W, 104-99",1,37:15,10,17,.588,5,10,.500,5,7,.714,.735,2,2,1.000,2,5,7,2,2,0,0,1,27,25.0,11
14,14,14,2024-11-19,LAL,,UTA,"W, 124-118",1,38:25,12,16,.750,9,12,.750,3,4,.750,1.031,4,5,.800,0,5,5,0,1,0,0,2,37,31.9,18
15,15,15,2024-11-21,LAL,,ORL,"L, 118-119",1,39:06,7,14,.500,3,7,.429,4,7,.571,.607,0,0,,0,4,4,1,0,0,0,3,17,10.7,5
16,16,16,2024-11-23,LAL,,DEN,"L, 102-127",0,28:03,3,7,.429,1,4,.250,2,3,.667,.500,2,2,1.000,1,4,5,1,0,0,0,1,9,7.5,-17
17,17,17,2024-11-26,LAL,@,PHO,"L, 100-127",0,19:25,2,7,.286,1,4,.250,1,3,.333,.357,2,3,.667,1,3,4,0,0,0,0,0,7,4.1,-20
18,18,18,2024-11-27,LAL,@,SAS,"W, 119-101",1,30:31,8,15,.533,4,10,.400,4,5,.800,.667,0,0,,0,8,8,1,2,0,1,2,20,16.0,9
19,19,19,2024-11-29,LAL,,OKC,"L, 93-101",1,33:09,7,17,.412,6,13,.462,1,4,.250,.588,0,0,,1,5,6,4,0,0,0,2,20,15.1,-10
20,20,20,2024-12-01,LAL,@,UTA,"W, 105-104",1,30:20,2,10,.200,1,5,.200,1,5,.200,.250,1,2,.500,3,4,7,1,1,0,0,5,6,2.4,-19
21,21,21,2024-12-02,LAL,@,MIN,"L, 80-109",1,27:53,3,8,.375,0,5,.000,3,3,1.000,.375,0,2,.000,0,3,3,0,0,0,1,1,6,0.3,-13
22,22,22,2024-12-04,LAL,@,MIA,"L, 93-134",1,22:45,1,4,.250,0,2,.000,1,2,.500,.250,0,0,,1,1,2,1,2,1,3,0,2,1.0,-20
23,23,23,2024-12-06,LAL,@,ATL,"L, 132-134 (OT)",1,28:23,6,11,.545,2,6,.333,4,5,.800,.636,0,0,,0,3,3,2,0,0,0,3,14,9.8,-2
24,24,24,2024-12-08,LAL,,POR,"W, 107-98",1,21:55,3,9,.333,0,3,.000,3,6,.500,.333,0,0,,1,7,8,1,1,0,2,3,6,2.2,0
25,25,25,2024-12-13,LAL,@,MIN,"L, 87-97",0,18:32,2,5,.400,0,3,.000,2,2,1.000,.400,2,4,.500,2,7,9,1,0,0,1,1,6,5.3,-7
26,26,26,2024-12-15,LAL,,MEM,"W, 116-110",0,12:46,2,4,.500,0,2,.000,2,2,1.000,.500,1,2,.500,0,3,3,0,0,0,2,1,5,1.1,-2
27,27,27,2024-12-19,LAL,@,SAC,"W, 113-100",0,10:11,1,4,.250,0,2,.000,1,2,.500,.250,0,0,,0,1,1,0,0,0,0,1,2,-0.5,-4
28,28,28,2024-12-21,LAL,@,SAC,"W, 103-99",0,04:59,0,0,,0,0,,0,0,,,0,0,,0,0,0,1,0,0,1,0,0,-0.3,-6
29,29,29,2024-12-23,LAL,,DET,"L, 114-117",0,15:43,2,4,.500,1,2,.500,1,2,.500,.625,2,2,1.000,1,1,2,1,0,0,0,1,7,6.3,-10
30,30,30,2024-12-25,LAL,@,GSW,"W, 115-113",0,25:18,5,9,.556,1,5,.200,4,4,1.000,.611,2,2,1.000,2,5,7,2,0,1,0,0,13,13.7,13
31,31,31,2024-12-28,LAL,,SAC,"W, 132-122",0,32:53,6,10,.600,2,5,.400,4,5,.800,.700,4,4,1.000,0,2,2,1,0,0,0,0,18,14.7,9
32,32,32,2024-12-31,LAL,,CLE,"L, 110-122",0,22:09,2,8,.250,0,5,.000,2,3,.667,.250,0,0,,1,2,3,1,0,0,0,0,4,1.2,-3
33,33,33,2025-01-02,LAL,,POR,"W, 114-106",0,16:55,2,6,.333,0,3,.000,2,3,.667,.333,2,2,1.000,1,0,1,0,0,0,1,4,6,0.7,-3
34,34,34,2025-01-03,LAL,,ATL,"W, 119-102",0,14:57,4,7,.571,3,4,.750,1,3,.333,.786,2,2,1.000,1,3,4,1,1,0,1,2,13,11.2,6
35,35,35,2025-01-05,LAL,@,HOU,"L, 115-119",0,17:02,0,3,.000,0,2,.000,0,1,.000,.000,0,0,,0,1,1,0,0,0,0,0,0,-1.8,-3
36,36,36,2025-01-07,LAL,@,DAL,"L, 97-118",0,15:58,5,8,.625,2,5,.400,3,3,1.000,.750,1,2,.500,0,0,0,0,0,1,1,1,13,8.3,-8
37,37,37,2025-01-13,LAL,,SAS,"L, 102-126",0,13:49,1,5,.200,0,4,.000,1,1,1.000,.200,3,3,1.000,0,3,3,1,1,0,0,1,5,4.1,-1
38,38,38,2025-01-15,LAL,,MIA,"W, 117-108",0,13:48,0,4,.000,0,4,.000,0,0,,.000,2,2,1.000,0,2,2,1,0,0,0,1,2,0.1,-4
39,39,39,2025-01-17,LAL,,BRK,"W, 102-101",0,18:23,0,4,.000,0,3,.000,0,1,.000,.000,2,3,.667,1,0,1,1,0,0,0,0,2,0.2,6
