ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,529,1,2024-10-23,BRK,@,ATL,"L, 116-120",1,29:33,3,10,.300,2,7,.286,1,3,.333,.400,0,0,,3,5,8,1,1,2,1,5,8,5.9,-4
2,530,2,2024-10-25,BRK,@,ORL,"L, 101-116",1,26:27,6,10,.600,3,6,.500,3,4,.750,.750,0,0,,3,3,6,0,1,0,1,1,15,13.0,4
3,531,3,2024-10-27,BRK,,MIL,"W, 115-102",1,24:50,1,8,.125,1,7,.143,0,1,.000,.188,0,0,,1,2,3,2,2,0,0,3,3,1.3,-1
4,532,4,2024-10-29,BRK,,DEN,"L, 139-144 (OT)",1,36:45,5,11,.455,1,7,.143,4,4,1.000,.500,6,11,.545,0,5,5,4,1,1,1,4,17,12.7,-3
5,533,5,2024-10-30,BRK,@,MEM,"W, 119-106",1,28:06,3,8,.375,1,4,.250,2,4,.500,.438,0,0,,1,4,5,4,2,0,3,4,7,4.7,13
6,534,6,2024-11-01,BRK,,CHI,"W, 120-112",1,27:35,4,8,.500,1,4,.250,3,4,.750,.563,0,0,,1,4,5,0,2,1,0,5,9,7.6,-1
7,535,7,2024-11-03,BRK,,DET,"L, 92-106",1,28:23,3,5,.600,2,3,.667,1,2,.500,.800,1,1,1.000,2,1,3,0,2,1,2,3,9,7.9,-8
8,536,8,2024-11-04,BRK,,MEM,"W, 106-104",1,28:00,6,10,.600,5,8,.625,1,2,.500,.850,0,0,,5,1,6,3,1,0,4,5,17,13.3,12
9,537,9,2024-11-08,BRK,@,BOS,"L, 104-108 (OT)",1,31:05,2,6,.333,1,3,.333,1,3,.333,.417,0,0,,2,3,5,2,0,1,1,5,5,3.0,0
10,538,10,2024-11-09,BRK,@,CLE,"L, 100-105",1,28:42,4,8,.500,2,6,.333,2,2,1.000,.625,0,0,,3,1,4,0,0,0,0,3,10,7.2,11
10,,11,2024-11-11,BRK,@,NOP,"W, 107-105",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
10,,12,2024-11-13,BRK,,BOS,"L, 114-139",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
11,539,13,2024-11-15,BRK,@,NYK,"L, 122-124",1,32:18,4,9,.444,4,6,.667,0,3,.000,.667,3,4,.750,2,2,4,3,0,1,0,1,15,14.3,19
12,540,14,2024-11-17,BRK,@,NYK,"L, 104-114",1,28:21,6,11,.545,4,7,.571,2,4,.500,.727,0,0,,3,1,4,2,0,1,1,2,16,13.4,0
13,541,15,2024-11-19,BRK,,CHO,"W, 116-115",1,27:16,5,6,.833,4,5,.800,1,1,1.000,1.167,1,2,.500,1,2,3,3,1,0,1,3,15,14.6,17
14,542,16,2024-11-22,BRK,@,PHI,"L, 98-113",1,25:40,2,6,.333,1,5,.200,1,1,1.000,.417,0,0,,0,2,2,1,0,0,0,1,5,2.5,-2
14,,17,2024-11-24,BRK,@,SAC,"W, 108-103",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
14,,18,2024-11-25,BRK,@,GSW,"W, 128-120",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
15,543,19,2024-11-27,BRK,@,PHO,"W, 127-117",1,32:04,3,6,.500,3,5,.600,0,1,.000,.750,0,0,,0,1,1,2,1,0,1,1,9,7.3,-1
15,,20,2024-11-29,BRK,,ORL,"L, 100-123",Did Not Dress,,,,,,,,,,,,,,,,,,,,,,,,,
15,,21,2024-12-01,BRK,,ORL,"L, 92-100",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
15,,22,2024-12-02,BRK,@,CHI,"L, 102-128",Not With Team,,,,,,,,,,,,,,,,,,,,,,,,,
15,,23,2024-12-04,BRK,,IND,"W, 99-90",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
16,544,24,2024-12-08,BRK,,MIL,"L, 113-118",1,30:33,3,7,.429,3,5,.600,0,2,.000,.643,0,0,,0,4,4,1,1,0,0,4,9,6.6,2
17,545,25,2024-12-13,BRK,@,MEM,"L, 119-135",1,30:12,5,8,.625,5,8,.625,0,0,,.938,4,5,.800,1,4,5,1,2,2,0,1,19,20.6,-20
18,546,26,2024-12-16,BRK,,CLE,"L, 101-130",1,24:00,4,8,.500,2,4,.500,2,4,.500,.625,0,0,,0,4,4,1,0,0,1,2,10,6.1,-10
19,547,27,2024-12-19,BRK,@,TOR,"W, 101-94",1,32:16,3,7,.429,2,4,.500,1,3,.333,.571,0,0,,1,4,5,1,1,2,0,0,8,9.3,19
19,,28,2024-12-21,BRK,,UTA,"L, 94-105",Did Not Dress,,,,,,,,,,,,,,,,,,,,,,,,,
19,,29,2024-12-23,BRK,@,MIA,"L, 95-110",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
19,,30,2024-12-26,BRK,@,MIL,"W, 111-105",Did Not Dress,,,,,,,,,,,,,,,,,,,,,,,,,
20,548,31,2024-12-27,BRK,,SAS,"L, 87-96",1,27:08,1,7,.143,0,4,.000,1,3,.333,.143,0,1,.000,2,7,9,0,0,0,1,1,2,-0.8,-6
20,,32,2024-12-29,BRK,@,ORL,"L, 101-102",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
21,549,32,2024-12-31,LAL,,CLE,"L, 110-122",0,20:24,1,4,.250,0,2,.000,1,2,.500,.250,0,0,,2,0,2,2,0,0,0,2,2,1.6,7
