date,pts,blk,ast,stl,tov,fg3,fg,ft,is_playoff,reb
2021-10-20,7.0,0.0,2.0,2.0,3.0,1.0,2.0,2.0,1.0,6.0
2021-10-22,8.0,1.0,4.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0
2021-10-24,13.0,0.0,3.0,1.0,2.0,1.0,5.0,2.0,1.0,4.0
2021-10-26,11.0,0.0,3.0,0.0,1.0,1.0,4.0,2.0,1.0,4.0
2021-10-27,17.0,0.0,0.0,1.0,2.0,1.0,5.0,6.0,1.0,6.0
2021-10-30,14.0,1.0,1.0,1.0,3.0,2.0,4.0,4.0,1.0,1.0
2021-11-04,17.0,0.0,3.0,0.0,3.0,3.0,4.0,6.0,1.0,3.0
2021-11-07,13.0,0.0,0.0,0.0,1.0,1.0,5.0,2.0,1.0,7.0
2021-11-10,27.0,0.0,2.0,0.0,1.0,2.0,8.0,9.0,1.0,5.0
2021-11-12,22.0,1.0,1.0,2.0,1.0,2.0,9.0,2.0,1.0,5.0
2021-11-14,20.0,0.0,0.0,1.0,1.0,3.0,8.0,1.0,1.0,3.0
2021-11-15,20.0,0.0,3.0,1.0,3.0,4.0,8.0,0.0,1.0,4.0
2021-11-17,34.0,1.0,2.0,0.0,1.0,4.0,14.0,2.0,1.0,8.0
2021-11-19,10.0,0.0,1.0,1.0,1.0,2.0,4.0,0.0,1.0,6.0
2021-11-20,16.0,0.0,3.0,0.0,2.0,4.0,5.0,2.0,1.0,4.0
2021-11-22,15.0,0.0,1.0,0.0,2.0,3.0,5.0,2.0,1.0,5.0
2021-11-24,27.0,0.0,3.0,1.0,2.0,5.0,8.0,6.0,1.0,3.0
2021-11-26,21.0,0.0,2.0,1.0,0.0,2.0,7.0,5.0,1.0,4.0
2021-11-29,7.0,0.0,1.0,2.0,1.0,1.0,3.0,0.0,1.0,3.0
2021-12-01,19.0,1.0,4.0,2.0,2.0,4.0,7.0,1.0,1.0,2.0
2021-12-02,15.0,1.0,2.0,0.0,2.0,2.0,3.0,7.0,1.0,1.0
2021-12-06,28.0,2.0,0.0,2.0,1.0,5.0,9.0,5.0,1.0,2.0
2021-12-08,22.0,1.0,3.0,0.0,2.0,4.0,8.0,2.0,1.0,6.0
2021-12-10,11.0,0.0,2.0,1.0,1.0,2.0,4.0,1.0,1.0,0.0
