player_game_num_career,date,pts,blk,orb,drb,ast,stl,tov,fg3,fg,ft
7.0,2024-04-21,6.0,0.0,2.0,2.0,1.0,0.0,0.0,2.0,2.0,0.0
8.0,2024-04-24,15.0,0.0,1.0,0.0,2.0,1.0,1.0,4.0,4.0,3.0
9.0,2024-04-27,12.0,0.0,2.0,2.0,3.0,0.0,1.0,4.0,4.0,0.0
10.0,2024-04-29,11.0,0.0,3.0,5.0,3.0,2.0,1.0,2.0,4.0,1.0
11.0,2024-05-07,7.0,0.0,4.0,0.0,1.0,2.0,3.0,2.0,2.0,1.0
12.0,2024-05-09,8.0,0.0,2.0,4.0,3.0,1.0,0.0,2.0,3.0,0.0
13.0,2024-05-11,8.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,0.0
14.0,2024-05-13,17.0,1.0,3.0,5.0,0.0,0.0,0.0,3.0,4.0,6.0
15.0,2024-05-15,12.0,0.0,1.0,5.0,4.0,2.0,1.0,2.0,4.0,2.0
16.0,2024-05-18,11.0,0.0,0.0,3.0,1.0,3.0,2.0,2.0,3.0,3.0
17.0,2025-04-20,12.0,1.0,1.0,2.0,2.0,3.0,1.0,4.0,4.0,0.0
18.0,2025-04-22,8.0,0.0,3.0,6.0,0.0,0.0,0.0,2.0,3.0,0.0
19.0,2025-04-24,2.0,1.0,1.0,5.0,0.0,1.0,1.0,0.0,1.0,0.0
20.0,2025-04-26,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
21.0,2025-05-05,14.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,2.0
22.0,2025-05-07,12.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,4.0,2.0
23.0,2025-05-09,3.0,1.0,3.0,1.0,3.0,0.0,1.0,0.0,1.0,1.0
24.0,2025-05-11,6.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0
25.0,2025-05-13,12.0,0.0,1.0,2.0,1.0,0.0,2.0,4.0,4.0,0.0
26.0,2025-05-15,10.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,0.0
27.0,2025-05-18,6.0,0.0,4.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0
28.0,2025-05-20,5.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,2.0,0.0
29.0,2025-05-22,9.0,0.0,2.0,6.0,4.0,2.0,0.0,2.0,3.0,1.0
30.0,2025-05-24,6.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0
31.0,2025-05-26,4.0,1.0,1.0,3.0,0.0,2.0,2.0,1.0,1.0,1.0
