ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,207,1,2024-10-22,LAL,,MIN,"W, 110-103",0,17:13,1,2,.500,0,0,,1,2,.500,.500,0,0,,0,2,2,2,0,0,2,1,2,0.6,-2
2,208,2,2024-10-25,LAL,,PHO,"W, 123-116",0,20:35,2,5,.400,1,3,.333,1,2,.500,.500,0,0,,1,1,2,0,3,0,0,4,5,4.7,9
3,209,3,2024-10-26,LAL,,SAC,"W, 131-127",0,12:37,1,6,.167,0,4,.000,1,2,.500,.167,0,0,,0,0,0,0,1,0,0,1,2,-1.2,-5
4,210,4,2024-10-28,LAL,@,PHO,"L, 105-109",0,19:17,1,3,.333,1,2,.500,0,1,.000,.500,0,0,,0,0,0,0,0,0,0,0,3,1.3,-5
5,211,5,2024-10-30,LAL,@,CLE,"L, 110-134",0,16:09,2,5,.400,1,3,.333,1,2,.500,.500,0,0,,0,0,0,0,0,0,1,0,5,1.3,-10
6,212,6,2024-11-01,LAL,@,TOR,"W, 131-125",0,20:32,1,6,.167,0,4,.000,1,2,.500,.167,0,0,,1,2,3,2,0,0,0,4,2,-0.7,-4
7,213,7,2024-11-04,LAL,@,DET,"L, 103-115",0,17:46,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,1,0,1,0,0,0.0,-5
8,214,8,2024-11-06,LAL,@,MEM,"L, 114-131",0,23:21,2,8,.250,1,6,.167,1,2,.500,.313,1,2,.500,0,1,1,1,0,0,2,1,6,-0.6,-15
9,215,9,2024-11-08,LAL,,PHI,"W, 116-106",0,15:40,1,2,.500,0,1,.000,1,1,1.000,.500,0,0,,0,0,0,0,0,0,0,3,2,-0.2,4
10,216,10,2024-11-10,LAL,,TOR,"W, 123-103",0,18:29,2,5,.400,1,3,.333,1,2,.500,.500,0,0,,0,1,1,0,1,0,1,1,5,2.2,13
11,217,11,2024-11-13,LAL,,MEM,"W, 128-123",0,12:37,0,6,.000,0,4,.000,0,2,.000,.000,0,0,,0,0,0,0,0,0,0,2,0,-5.0,6
12,218,12,2024-11-15,LAL,@,SAS,"W, 120-115",0,19:34,2,4,.500,1,2,.500,1,2,.500,.625,1,2,.500,1,1,2,0,3,0,0,1,6,7.2,13
13,219,13,2024-11-16,LAL,@,NOP,"W, 104-99",0,21:38,0,2,.000,0,2,.000,0,0,,.000,0,0,,1,1,2,2,0,0,0,1,0,0.6,-9
14,220,14,2024-11-19,LAL,,UTA,"W, 124-118",0,18:43,1,3,.333,1,2,.500,0,1,.000,.500,0,0,,0,2,2,1,1,0,0,3,3,2.4,8
15,221,15,2024-11-21,LAL,,ORL,"L, 118-119",0,14:12,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,2,0,-0.8,6
16,222,16,2024-11-23,LAL,,DEN,"L, 102-127",0,13:46,3,5,.600,1,3,.333,2,2,1.000,.700,0,0,,0,0,0,1,0,0,1,3,7,3.2,3
