ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,188,1,2021-10-20,OKC,@,UTA,"L, 86-107",1,32:40,7,17,.412,1,7,.143,6,10,.600,.441,3,5,.600,1,3,4,2,0,0,1,2,18,9.3,-21
2,189,2,2021-10-22,OKC,@,HOU,"L, 91-124",1,26:28,6,15,.400,1,6,.167,5,9,.556,.433,0,0,,0,4,4,2,0,0,5,1,13,2.1,-27
3,190,3,2021-10-24,OKC,,PHI,"L, 103-115",1,38:39,9,19,.474,1,6,.167,8,13,.615,.500,10,12,.833,0,6,6,8,1,1,2,2,29,24.8,1
4,191,4,2021-10-26,OKC,,GSW,"L, 98-106",1,35:43,11,19,.579,4,5,.800,7,14,.500,.684,4,5,.800,0,1,1,4,1,0,1,5,30,21.8,-3
5,192,5,2021-10-27,OKC,,LAL,"W, 123-115",1,37:41,7,19,.368,5,11,.455,2,8,.250,.500,8,10,.800,2,7,9,5,0,0,2,2,27,19.9,2
6,193,6,2021-10-30,OKC,@,GSW,"L, 82-103",1,28:41,6,15,.400,2,7,.286,4,8,.500,.467,1,2,.500,0,5,5,2,1,0,1,0,15,9.4,-23
7,194,7,2021-11-01,OKC,@,LAC,"L, 94-99",1,39:52,11,23,.478,3,5,.600,8,18,.444,.543,3,3,1.000,2,5,7,2,2,1,2,4,28,19.7,-1
8,195,8,2021-11-04,OKC,@,LAL,"W, 107-104",1,39:08,9,17,.529,4,7,.571,5,10,.500,.647,6,6,1.000,1,2,3,6,1,1,2,0,28,24.9,14
9,196,9,2021-11-07,OKC,,SAS,"W, 99-94",1,35:52,5,16,.313,1,6,.167,4,10,.400,.344,3,3,1.000,0,8,8,9,1,1,3,0,14,12.2,16
10,197,10,2021-11-10,OKC,@,NOP,"W, 108-100",1,36:23,7,19,.368,2,7,.286,5,12,.417,.421,8,11,.727,0,7,7,5,1,2,5,2,24,14.5,5
11,198,11,2021-11-12,OKC,,SAC,"W, 105-103",1,34:59,9,24,.375,2,8,.250,7,16,.438,.417,2,2,1.000,0,2,2,3,2,0,4,5,22,7.5,-8
12,199,12,2021-11-14,OKC,,BRK,"L, 96-120",1,30:25,8,14,.571,3,6,.500,5,8,.625,.679,4,4,1.000,0,6,6,2,1,0,3,1,23,17.2,-20
13,200,13,2021-11-15,OKC,,MIA,"L, 90-103",1,34:57,2,11,.182,1,5,.200,1,6,.167,.227,5,6,.833,1,2,3,5,1,0,3,3,10,4.3,-5
14,201,14,2021-11-17,OKC,,HOU,"W, 101-89",1,36:35,6,18,.333,1,8,.125,5,10,.500,.361,2,2,1.000,2,5,7,9,4,1,3,2,15,14.9,17
15,202,15,2021-11-19,OKC,@,MIL,"L, 89-96",1,35:58,5,20,.250,2,12,.167,3,8,.375,.300,5,7,.714,1,5,6,3,1,0,2,3,17,6.3,-14
16,203,16,2021-11-20,OKC,@,BOS,"L, 105-111",1,34:05,4,13,.308,3,7,.429,1,6,.167,.423,3,5,.600,0,3,3,3,0,0,3,4,14,4.1,2
16,,17,2021-11-22,OKC,@,ATL,"L, 101-113",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
16,,18,2021-11-24,OKC,,UTA,"L, 104-110",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
17,204,19,2021-11-26,OKC,,WAS,"L, 99-101",1,34:24,7,16,.438,0,4,.000,7,12,.583,.438,1,2,.500,0,8,8,9,1,1,1,1,15,15.2,-6
18,205,20,2021-11-29,OKC,@,HOU,"L, 89-102",1,33:00,9,20,.450,2,5,.400,7,15,.467,.500,2,6,.333,0,3,3,4,2,2,2,0,22,15.1,-12
19,206,21,2021-12-01,OKC,,HOU,"L, 110-114",1,37:39,12,26,.462,1,8,.125,11,18,.611,.481,14,16,.875,1,3,4,2,0,1,1,2,39,26.7,-15
19,,22,2021-12-02,OKC,@,MEM,"L, 79-152",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
20,207,23,2021-12-06,OKC,@,DET,"W, 114-103",1,37:21,9,20,.450,0,2,.000,9,18,.500,.450,12,15,.800,0,2,2,13,0,2,3,3,30,25.3,6
