date,pts,blk,ast,stl,tov,fg3,fg,ft,is_playoff,reb
2021-10-20,18.0,0.0,2.0,0.0,1.0,1.0,7.0,3.0,1.0,4.0
2021-10-22,13.0,0.0,2.0,0.0,5.0,1.0,6.0,0.0,1.0,4.0
2021-10-24,29.0,1.0,8.0,1.0,2.0,1.0,9.0,10.0,1.0,6.0
2021-10-26,30.0,0.0,4.0,1.0,1.0,4.0,11.0,4.0,1.0,1.0
2021-10-27,27.0,0.0,5.0,0.0,2.0,5.0,7.0,8.0,1.0,9.0
2021-10-30,15.0,0.0,2.0,1.0,1.0,2.0,6.0,1.0,1.0,5.0
2021-11-01,28.0,1.0,2.0,2.0,2.0,3.0,11.0,3.0,1.0,7.0
2021-11-04,28.0,1.0,6.0,1.0,2.0,4.0,9.0,6.0,1.0,3.0
2021-11-07,14.0,1.0,9.0,1.0,3.0,1.0,5.0,3.0,1.0,8.0
2021-11-10,24.0,2.0,5.0,1.0,5.0,2.0,7.0,8.0,1.0,7.0
2021-11-12,22.0,0.0,3.0,2.0,4.0,2.0,9.0,2.0,1.0,2.0
2021-11-14,23.0,0.0,2.0,1.0,3.0,3.0,8.0,4.0,1.0,6.0
2021-11-15,10.0,0.0,5.0,1.0,3.0,1.0,2.0,5.0,1.0,3.0
2021-11-17,15.0,1.0,9.0,4.0,3.0,1.0,6.0,2.0,1.0,7.0
2021-11-19,17.0,0.0,3.0,1.0,2.0,2.0,5.0,5.0,1.0,6.0
2021-11-20,14.0,0.0,3.0,0.0,3.0,3.0,4.0,3.0,1.0,3.0
2021-11-26,15.0,1.0,9.0,1.0,1.0,0.0,7.0,1.0,1.0,8.0
2021-11-29,22.0,2.0,4.0,2.0,2.0,2.0,9.0,2.0,1.0,3.0
2021-12-01,39.0,1.0,2.0,0.0,1.0,1.0,12.0,14.0,1.0,4.0
2021-12-06,30.0,2.0,13.0,0.0,3.0,0.0,9.0,12.0,1.0,2.0
2021-12-08,26.0,0.0,9.0,1.0,2.0,2.0,6.0,12.0,1.0,2.0
2021-12-10,11.0,1.0,4.0,0.0,2.0,1.0,5.0,0.0,1.0,2.0
2021-12-12,18.0,2.0,5.0,0.0,1.0,1.0,6.0,5.0,1.0,4.0
2021-12-15,33.0,1.0,1.0,1.0,3.0,4.0,10.0,9.0,1.0,5.0
2021-12-18,18.0,0.0,6.0,1.0,2.0,2.0,8.0,0.0,1.0,3.0
2021-12-20,23.0,0.0,4.0,3.0,1.0,0.0,8.0,7.0,1.0,5.0
2021-12-22,27.0,1.0,12.0,1.0,1.0,0.0,10.0,7.0,1.0,11.0
2021-12-23,29.0,1.0,7.0,0.0,5.0,2.0,10.0,7.0,1.0,5.0
2021-12-26,31.0,3.0,5.0,1.0,1.0,1.0,11.0,8.0,1.0,4.0
2021-12-28,33.0,0.0,5.0,0.0,1.0,1.0,9.0,14.0,1.0,5.0
2021-12-31,23.0,1.0,4.0,2.0,4.0,2.0,9.0,3.0,1.0,4.0
2022-01-05,19.0,0.0,5.0,0.0,4.0,2.0,5.0,7.0,1.0,2.0
2022-01-07,12.0,1.0,6.0,2.0,4.0,0.0,4.0,4.0,1.0,3.0
2022-01-09,8.0,2.0,4.0,1.0,1.0,0.0,2.0,4.0,1.0,5.0
2022-01-11,32.0,0.0,8.0,1.0,2.0,1.0,13.0,5.0,1.0,3.0
