player_game_num_career,date,pts,blk,orb,drb,ast,stl,tov,fg3,fg,ft
14.0,2024-04-21,28.0,0.0,0.0,6.0,4.0,0.0,3.0,0.0,11.0,6.0
15.0,2024-04-24,33.0,0.0,0.0,3.0,5.0,2.0,2.0,3.0,13.0,4.0
16.0,2024-04-27,24.0,1.0,1.0,4.0,8.0,4.0,3.0,1.0,8.0,7.0
17.0,2024-04-29,24.0,2.0,1.0,9.0,3.0,0.0,2.0,1.0,8.0,7.0
18.0,2024-05-07,29.0,2.0,1.0,8.0,9.0,1.0,2.0,2.0,8.0,11.0
19.0,2024-05-09,33.0,2.0,2.0,10.0,8.0,1.0,2.0,1.0,13.0,6.0
20.0,2024-05-11,31.0,5.0,2.0,8.0,6.0,1.0,5.0,2.0,10.0,9.0
21.0,2024-05-13,34.0,2.0,1.0,7.0,5.0,2.0,0.0,0.0,14.0,6.0
22.0,2024-05-15,30.0,1.0,0.0,6.0,8.0,2.0,3.0,2.0,12.0,4.0
23.0,2024-05-18,36.0,2.0,0.0,3.0,8.0,0.0,0.0,4.0,14.0,4.0
24.0,2025-04-20,15.0,2.0,0.0,3.0,5.0,0.0,2.0,1.0,4.0,6.0
25.0,2025-04-22,27.0,0.0,3.0,5.0,5.0,2.0,2.0,3.0,10.0,4.0
26.0,2025-04-24,31.0,1.0,0.0,4.0,8.0,1.0,3.0,2.0,10.0,9.0
27.0,2025-04-26,38.0,1.0,2.0,3.0,6.0,2.0,1.0,1.0,13.0,11.0
28.0,2025-05-05,33.0,1.0,3.0,7.0,8.0,2.0,1.0,2.0,12.0,7.0
29.0,2025-05-07,34.0,0.0,2.0,2.0,8.0,0.0,2.0,1.0,11.0,11.0
30.0,2025-05-09,18.0,0.0,3.0,10.0,7.0,2.0,1.0,1.0,7.0,3.0
31.0,2025-05-11,25.0,0.0,1.0,5.0,6.0,2.0,3.0,0.0,8.0,9.0
32.0,2025-05-13,31.0,2.0,1.0,5.0,7.0,2.0,5.0,1.0,12.0,6.0
33.0,2025-05-15,32.0,0.0,0.0,3.0,6.0,0.0,2.0,2.0,11.0,8.0
34.0,2025-05-18,35.0,1.0,0.0,3.0,4.0,3.0,0.0,3.0,12.0,8.0
35.0,2025-05-20,31.0,0.0,1.0,4.0,9.0,3.0,2.0,0.0,10.0,11.0
36.0,2025-05-22,38.0,0.0,0.0,3.0,8.0,3.0,1.0,1.0,12.0,13.0
37.0,2025-05-24,14.0,1.0,0.0,2.0,6.0,0.0,4.0,2.0,4.0,4.0
38.0,2025-05-26,40.0,0.0,4.0,5.0,10.0,1.0,5.0,2.0,13.0,12.0
