date,pts,blk,ast,stl,tov,fg3,fg,ft,is_playoff,reb
2021-10-20,2.0,0.0,4.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0
2021-10-22,15.0,1.0,6.0,3.0,2.0,0.0,7.0,1.0,1.0,3.0
2021-10-24,8.0,2.0,9.0,0.0,2.0,2.0,3.0,0.0,1.0,7.0
2021-10-27,15.0,1.0,3.0,2.0,1.0,2.0,6.0,1.0,1.0,2.0
2021-10-29,17.0,1.0,8.0,0.0,2.0,1.0,7.0,2.0,1.0,2.0
2021-10-31,14.0,2.0,4.0,0.0,1.0,1.0,5.0,3.0,1.0,6.0
2021-11-02,14.0,2.0,3.0,1.0,1.0,1.0,6.0,1.0,1.0,3.0
2021-11-03,20.0,2.0,7.0,4.0,0.0,1.0,6.0,7.0,1.0,4.0
2021-11-05,14.0,0.0,5.0,1.0,1.0,2.0,6.0,0.0,1.0,3.0
2021-11-07,17.0,0.0,1.0,3.0,3.0,3.0,7.0,0.0,1.0,3.0
2021-11-12,8.0,1.0,7.0,0.0,1.0,2.0,3.0,0.0,1.0,8.0
2021-11-15,17.0,1.0,10.0,2.0,5.0,3.0,7.0,0.0,1.0,2.0
2021-11-17,7.0,0.0,3.0,2.0,4.0,1.0,3.0,0.0,1.0,5.0
2021-11-19,8.0,1.0,0.0,3.0,1.0,2.0,3.0,0.0,1.0,4.0
2021-11-20,17.0,0.0,2.0,4.0,2.0,2.0,7.0,1.0,1.0,2.0
2021-11-22,0.0,0.0,9.0,1.0,1.0,0.0,0.0,0.0,1.0,5.0
2021-11-24,6.0,1.0,6.0,3.0,2.0,1.0,2.0,1.0,1.0,4.0
2021-11-26,19.0,0.0,9.0,5.0,3.0,5.0,7.0,0.0,1.0,6.0
2021-11-28,5.0,0.0,2.0,0.0,1.0,0.0,1.0,3.0,1.0,1.0
2021-11-30,6.0,0.0,6.0,2.0,3.0,1.0,2.0,1.0,1.0,5.0
2021-12-01,12.0,0.0,11.0,0.0,0.0,2.0,5.0,0.0,1.0,1.0
2021-12-04,18.0,1.0,5.0,2.0,5.0,4.0,7.0,0.0,1.0,6.0
2021-12-08,18.0,2.0,11.0,3.0,2.0,5.0,6.0,1.0,1.0,3.0
2021-12-10,15.0,0.0,7.0,2.0,3.0,5.0,5.0,0.0,1.0,7.0
2021-12-11,8.0,0.0,3.0,0.0,1.0,0.0,4.0,0.0,1.0,5.0
2021-12-13,3.0,2.0,4.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0
2021-12-15,8.0,3.0,9.0,3.0,3.0,0.0,4.0,0.0,1.0,8.0
2021-12-17,21.0,1.0,10.0,0.0,3.0,3.0,9.0,0.0,1.0,6.0
2021-12-19,27.0,0.0,11.0,2.0,3.0,3.0,12.0,0.0,1.0,4.0
2021-12-20,24.0,0.0,11.0,3.0,5.0,2.0,8.0,6.0,1.0,4.0
2021-12-22,22.0,1.0,13.0,3.0,7.0,3.0,7.0,5.0,1.0,3.0
2021-12-26,18.0,1.0,7.0,3.0,3.0,2.0,5.0,6.0,1.0,5.0
2021-12-28,24.0,2.0,10.0,1.0,2.0,5.0,9.0,1.0,1.0,2.0
2021-12-29,12.0,0.0,10.0,0.0,2.0,1.0,4.0,3.0,1.0,2.0
2021-12-31,17.0,0.0,10.0,1.0,2.0,4.0,6.0,1.0,1.0,4.0
2022-01-02,9.0,0.0,12.0,0.0,2.0,1.0,3.0,2.0,1.0,3.0
2022-01-04,7.0,0.0,9.0,0.0,2.0,1.0,3.0,0.0,1.0,4.0
