player_game_num_career,date,pts,blk,orb,drb,ast,stl,tov,fg3,fg,ft
1.0,2024-04-21,9.0,1.0,1.0,6.0,8.0,1.0,3.0,1.0,4.0,0.0
2.0,2024-04-23,12.0,1.0,1.0,3.0,12.0,1.0,2.0,3.0,4.0,1.0
3.0,2024-04-26,18.0,1.0,5.0,5.0,16.0,0.0,4.0,1.0,8.0,1.0
4.0,2024-04-28,24.0,0.0,0.0,4.0,4.0,1.0,3.0,5.0,8.0,3.0
5.0,2024-04-30,16.0,0.0,1.0,3.0,6.0,0.0,2.0,4.0,6.0,0.0
6.0,2024-05-02,17.0,0.0,1.0,5.0,10.0,0.0,2.0,2.0,7.0,1.0
7.0,2024-05-06,6.0,0.0,0.0,2.0,8.0,4.0,3.0,2.0,2.0,0.0
8.0,2024-05-08,34.0,0.0,2.0,4.0,9.0,3.0,2.0,7.0,11.0,5.0
9.0,2024-05-10,35.0,1.0,0.0,4.0,7.0,2.0,2.0,6.0,14.0,1.0
10.0,2024-05-12,20.0,0.0,0.0,6.0,5.0,0.0,0.0,4.0,8.0,0.0
11.0,2024-05-14,13.0,2.0,0.0,2.0,5.0,2.0,2.0,1.0,5.0,2.0
12.0,2024-05-17,15.0,2.0,0.0,6.0,9.0,0.0,1.0,3.0,6.0,0.0
13.0,2024-05-19,26.0,1.0,1.0,3.0,6.0,1.0,2.0,6.0,10.0,0.0
14.0,2024-05-21,25.0,1.0,0.0,3.0,10.0,3.0,3.0,6.0,8.0,3.0
15.0,2024-05-23,10.0,0.0,0.0,4.0,8.0,1.0,0.0,2.0,4.0,0.0
16.0,2025-04-19,10.0,0.0,0.0,7.0,12.0,0.0,1.0,0.0,3.0,4.0
17.0,2025-04-22,21.0,0.0,1.0,4.0,12.0,0.0,3.0,3.0,8.0,2.0
18.0,2025-04-25,14.0,1.0,1.0,6.0,10.0,0.0,1.0,4.0,5.0,0.0
19.0,2025-04-27,17.0,0.0,0.0,8.0,15.0,1.0,5.0,2.0,6.0,3.0
20.0,2025-04-29,26.0,3.0,0.0,5.0,9.0,3.0,1.0,2.0,10.0,4.0
21.0,2025-05-04,22.0,3.0,0.0,3.0,13.0,1.0,1.0,2.0,9.0,2.0
22.0,2025-05-06,19.0,1.0,1.0,8.0,4.0,0.0,0.0,2.0,7.0,3.0
23.0,2025-05-09,4.0,0.0,0.0,0.0,5.0,1.0,3.0,0.0,2.0,0.0
24.0,2025-05-11,11.0,0.0,0.0,5.0,5.0,0.0,2.0,1.0,3.0,4.0
25.0,2025-05-13,31.0,1.0,0.0,6.0,8.0,1.0,4.0,6.0,10.0,5.0
26.0,2025-05-21,31.0,0.0,0.0,4.0,11.0,1.0,2.0,4.0,12.0,3.0
27.0,2025-05-23,14.0,0.0,2.0,6.0,11.0,2.0,1.0,3.0,5.0,1.0
28.0,2025-05-25,20.0,0.0,0.0,4.0,7.0,3.0,3.0,2.0,7.0,4.0
