ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
,,1,2024-10-22,LAL,,MIN,"W, 110-103",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,2024-10-25,LAL,,PHO,"W, 123-116",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,2024-10-26,LAL,,SAC,"W, 131-127",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,2024-10-28,LAL,@,PHO,"L, 105-109",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,2024-10-30,LAL,@,CLE,"L, 110-134",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,2024-11-01,LAL,@,TOR,"W, 131-125",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,2024-11-04,LAL,@,DET,"L, 103-115",Did Not Dress,,,,,,,,,,,,,,,,,,,,,,,,,
,,8,2024-11-06,LAL,@,MEM,"L, 114-131",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
,,9,2024-11-08,LAL,,PHI,"W, 116-106",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
,,10,2024-11-10,LAL,,TOR,"W, 123-103",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
,,11,2024-11-13,LAL,,MEM,"W, 128-123",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
,,12,2024-11-15,LAL,@,SAS,"W, 120-115",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
,,13,2024-11-16,LAL,@,NOP,"W, 104-99",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
,,14,2024-11-19,LAL,,UTA,"W, 124-118",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
,,15,2024-11-21,LAL,,ORL,"L, 118-119",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
,,16,2024-11-23,LAL,,DEN,"L, 102-127",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
,,17,2024-11-26,LAL,@,PHO,"L, 100-127",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
,,18,2024-11-27,LAL,@,SAS,"W, 119-101",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
,,19,2024-11-29,LAL,,OKC,"L, 93-101",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
,,20,2024-12-01,LAL,@,UTA,"W, 105-104",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
,,21,2024-12-02,LAL,@,MIN,"L, 80-109",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
,,22,2024-12-04,LAL,@,MIA,"L, 93-134",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
,,23,2024-12-06,LAL,@,ATL,"L, 132-134 (OT)",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
,,24,2024-12-08,LAL,,POR,"W, 107-98",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
,,25,2024-12-13,LAL,@,MIN,"L, 87-97",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
,,26,2024-12-15,LAL,,MEM,"W, 116-110",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
,,27,2024-12-19,LAL,@,SAC,"W, 113-100",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
,,28,2024-12-21,LAL,@,SAC,"W, 103-99",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
,,29,2024-12-23,LAL,,DET,"L, 114-117",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
,,30,2024-12-25,LAL,@,GSW,"W, 115-113",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
,,31,2024-12-28,LAL,,SAC,"W, 132-122",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
,,32,2024-12-31,LAL,,CLE,"L, 110-122",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
,,33,2025-01-02,LAL,,POR,"W, 114-106",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
,,34,2025-01-03,LAL,,ATL,"W, 119-102",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
,,35,2025-01-05,LAL,@,HOU,"L, 115-119",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
,,36,2025-01-07,LAL,@,DAL,"L, 97-118",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
,,37,2025-01-13,LAL,,SAS,"L, 102-126",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
,,38,2025-01-15,LAL,,MIA,"W, 117-108",Did Not Dress,,,,,,,,,,,,,,,,,,,,,,,,,
,,39,2025-01-17,LAL,,BRK,"W, 102-101",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
,,40,2025-01-19,LAL,@,LAC,"L, 102-116",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
,,41,2025-01-21,LAL,,WAS,"W, 111-88",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
,,42,2025-01-23,LAL,,BOS,"W, 117-96",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
1,274,43,2025-01-25,LAL,@,GSW,"W, 118-108",0,12:27,1,2,.500,0,1,.000,1,1,1.000,.500,0,0,,2,2,4,2,3,0,0,3,2,6.2,6
2,275,44,2025-01-27,LAL,@,CHO,"W, 112-107",0,13:11,2,5,.400,0,1,.000,2,4,.500,.400,0,0,,1,1,2,1,2,0,1,1,4,3.6,3
2,,45,2025-01-28,LAL,@,PHI,"L, 104-118",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
3,276,46,2025-01-30,LAL,@,WAS,"W, 134-96",0,16:10,2,3,.667,0,0,,2,3,.667,.667,0,0,,4,3,7,2,4,0,1,2,4,10.0,18
4,277,47,2025-02-01,LAL,@,NYK,"W, 128-112",0,13:39,0,3,.000,0,1,.000,0,2,.000,.000,0,0,,3,5,8,1,0,0,0,3,0,1.0,4
5,278,48,2025-02-04,LAL,@,LAC,"W, 122-97",0,18:09,2,3,.667,1,1,1.000,1,2,.500,.833,1,2,.500,1,5,6,0,1,0,0,0,6,7.5,21
6,279,49,2025-02-06,LAL,,GSW,"W, 120-112",0,20:42,2,2,1.000,0,0,,2,2,1.000,1.000,1,2,.500,4,10,14,3,1,1,2,4,5,10.0,-2
7,280,50,2025-02-08,LAL,,IND,"W, 124-117",0,19:48,2,4,.500,0,2,.000,2,2,1.000,.500,0,0,,2,4,6,1,0,0,1,1,4,3.9,5
8,281,51,2025-02-10,LAL,,UTA,"W, 132-113",0,17:13,0,3,.000,0,1,.000,0,2,.000,.000,0,0,,0,2,2,1,0,0,1,1,0,-2.2,4
9,282,52,2025-02-12,LAL,@,UTA,"L, 119-131",0,17:20,1,3,.333,1,1,1.000,0,2,.000,.500,0,2,.000,2,4,6,0,0,0,2,0,3,1.1,-12
10,283,53,2025-02-19,LAL,,CHO,"L, 97-100",0,12:41,1,1,1.000,0,0,,1,1,1.000,1.000,1,2,.500,0,4,4,0,0,0,2,0,3,1.5,-17
10,,54,2025-02-20,LAL,@,POR,"W, 110-102",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
11,284,55,2025-02-22,LAL,@,DEN,"W, 123-100",0,06:28,0,0,,0,0,,0,0,,,1,2,.500,1,0,1,2,2,0,0,5,1,2.7,1
12,285,56,2025-02-25,LAL,,DAL,"W, 107-99",0,14:08,3,5,.600,2,3,.667,1,2,.500,.800,0,0,,1,2,3,2,0,0,0,2,8,7.6,-1
13,286,57,2025-02-27,LAL,,MIN,"W, 111-102",0,13:06,2,3,.667,1,2,.500,1,1,1.000,.833,0,2,.000,0,2,2,1,0,0,0,2,5,3.4,-17
14,287,58,2025-02-28,LAL,,LAC,"W, 106-102",0,14:42,0,1,.000,0,0,,0,1,.000,.000,3,4,.750,1,4,5,0,1,0,0,1,3,4.4,20
15,288,59,2025-03-02,LAL,,LAC,"W, 108-102",0,22:23,4,7,.571,0,3,.000,4,4,1.000,.571,0,0,,5,4,9,1,0,2,0,1,8,11.1,10
16,289,60,2025-03-04,LAL,,NOP,"W, 136-115",0,20:02,4,7,.571,2,4,.500,2,3,.667,.714,2,2,1.000,3,5,8,1,1,2,0,2,12,14.6,27
17,290,61,2025-03-06,LAL,,NYK,"W, 113-109 (OT)",0,16:44,1,3,.333,0,1,.000,1,2,.500,.333,0,0,,2,3,5,0,2,1,0,3,2,4.1,-11
18,291,62,2025-03-08,LAL,@,BOS,"L, 101-111",1,29:00,2,5,.400,0,1,.000,2,4,.500,.400,0,1,.000,2,6,8,2,2,0,2,4,4,3.9,0
19,292,63,2025-03-10,LAL,@,BRK,"L, 108-111",0,26:52,3,3,1.000,1,1,1.000,2,2,1.000,1.167,0,0,,1,5,6,2,1,0,1,0,7,9.7,-7
20,293,64,2025-03-13,LAL,@,MIL,"L, 106-126",0,14:56,2,4,.500,0,1,.000,2,3,.667,.500,0,0,,1,2,3,1,0,0,0,0,4,4.0,-14
