ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,122,50,2025-02-08,LAL,,IND,"W, 124-117",0,24:48,4,7,.571,1,2,.500,3,5,.600,.643,1,1,1.000,2,2,4,1,0,0,2,3,10,6.2,1
2,123,51,2025-02-10,LAL,,UTA,"W, 132-113",0,21:40,8,11,.727,1,2,.500,7,9,.778,.773,0,0,,3,5,8,1,2,0,0,1,17,18.4,0
3,124,52,2025-02-12,LAL,@,UTA,"L, 119-131",0,17:20,1,4,.250,1,3,.333,0,1,.000,.375,0,0,,1,3,4,2,1,0,0,3,3,3.4,-3
3,,53,2025-02-19,LAL,,CHO,"L, 97-100",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
4,125,54,2025-02-20,LAL,@,POR,"W, 110-102",0,20:07,0,1,.000,0,1,.000,0,0,,.000,0,0,,1,4,5,1,0,0,1,2,0,0.1,-8
5,126,55,2025-02-22,LAL,@,DEN,"W, 123-100",0,11:25,2,3,.667,1,2,.500,1,1,1.000,.833,0,0,,1,0,1,0,2,1,0,0,5,7.1,6
6,127,56,2025-02-25,LAL,,DAL,"W, 107-99",0,05:57,0,2,.000,0,1,.000,0,1,.000,.000,1,2,.500,1,1,2,0,0,1,1,0,1,-0.1,-2
7,128,57,2025-02-27,LAL,,MIN,"W, 111-102",0,12:33,3,5,.600,1,2,.500,2,3,.667,.700,0,0,,0,1,1,1,2,0,1,1,7,6.3,8
8,129,58,2025-02-28,LAL,,LAC,"W, 106-102",0,21:19,3,7,.429,0,3,.000,3,4,.750,.429,0,0,,3,2,5,2,3,0,1,2,6,7.6,14
8,,59,2025-03-02,LAL,,LAC,"W, 108-102",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
8,,60,2025-03-04,LAL,,NOP,"W, 136-115",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
8,,61,2025-03-06,LAL,,NYK,"W, 113-109 (OT)",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
9,130,62,2025-03-08,LAL,@,BOS,"L, 101-111",0,15:45,2,6,.333,2,3,.667,0,3,.000,.500,0,0,,2,1,3,0,1,0,2,0,6,3.3,6
10,131,63,2025-03-10,LAL,@,BRK,"L, 108-111",0,24:13,6,8,.750,5,6,.833,1,2,.500,1.063,0,0,,1,7,8,0,1,0,2,3,17,14.4,-3
11,132,64,2025-03-13,LAL,@,MIL,"L, 106-126",0,25:45,0,2,.000,0,1,.000,0,1,.000,.000,0,0,,1,3,4,3,0,1,0,3,0,1.8,-17
12,133,65,2025-03-14,LAL,@,DEN,"L, 126-131",1,33:34,4,8,.500,2,3,.667,2,5,.400,.625,0,0,,3,3,6,2,1,1,0,2,10,11.3,-8
13,134,66,2025-03-16,LAL,,PHO,"W, 107-96",1,28:05,1,5,.200,0,3,.000,1,2,.500,.200,0,0,,2,1,3,1,0,2,0,4,2,1.1,-3
14,135,67,2025-03-17,LAL,,SAS,"W, 125-109",1,32:40,6,9,.667,3,6,.500,3,3,1.000,.833,0,0,,1,3,4,3,3,1,0,2,15,17.7,9
15,136,68,2025-03-19,LAL,,DEN,"W, 120-108",1,26:28,2,7,.286,0,3,.000,2,4,.500,.286,4,4,1.000,1,2,3,3,4,0,1,1,8,9.9,1
16,137,69,2025-03-20,LAL,,MIL,"L, 89-118",1,31:03,3,8,.375,2,3,.667,1,5,.200,.500,0,0,,1,7,8,5,1,2,3,0,8,9.3,-18
17,138,70,2025-03-22,LAL,,CHI,"L, 115-146",0,15:18,1,3,.333,0,1,.000,1,2,.500,.333,2,2,1.000,2,1,3,1,1,0,0,3,4,4.5,-4
18,139,71,2025-03-24,LAL,@,ORL,"L, 106-118",0,13:17,0,0,,0,0,,0,0,,,1,2,.500,1,0,1,0,0,0,0,0,1,1.3,0
19,140,72,2025-03-26,LAL,@,IND,"W, 120-119",0,07:18,1,4,.250,0,1,.000,1,3,.333,.250,0,0,,2,0,2,1,0,0,1,1,2,0.3,-8
20,141,73,2025-03-27,LAL,@,CHI,"L, 117-119",0,18:29,3,4,.750,2,3,.667,1,1,1.000,1.000,0,0,,0,2,2,2,1,2,1,3,8,8.6,3
21,142,74,2025-03-29,LAL,@,MEM,"W, 134-127",0,08:10,0,2,.000,0,1,.000,0,1,.000,.000,0,0,,1,0,1,0,0,0,0,0,0,-0.7,4
22,143,75,2025-03-31,LAL,,HOU,"W, 104-98",0,11:40,2,5,.400,0,2,.000,2,3,.667,.400,0,0,,1,1,2,1,0,0,1,1,4,1.6,-4
23,144,76,2025-04-03,LAL,,GSW,"L, 116-123",0,14:16,0,1,.000,0,0,,0,1,.000,.000,0,0,,1,2,3,0,2,0,0,1,0,2.2,0
24,145,77,2025-04-04,LAL,,NOP,"W, 124-108",0,17:47,1,4,.250,0,3,.000,1,1,1.000,.250,0,0,,2,3,5,2,1,0,2,4,2,0.7,7
