date,pts,blk,ast,stl,tov,fg3,fg,ft,is_playoff,reb
2022-10-21,14.0,0.0,3.0,2.0,0.0,2.0,5.0,2.0,1.0,3.0
2022-10-22,8.0,0.0,3.0,0.0,1.0,2.0,3.0,0.0,1.0,2.0
2022-10-24,5.0,0.0,4.0,0.0,0.0,1.0,2.0,0.0,1.0,3.0
2022-10-26,3.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
2022-10-28,3.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
2022-10-29,5.0,0.0,5.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0
2022-10-31,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
2022-11-04,4.0,0.0,6.0,0.0,1.0,0.0,2.0,0.0,1.0,3.0
2022-11-07,15.0,0.0,5.0,2.0,3.0,3.0,6.0,0.0,1.0,3.0
2022-11-09,8.0,0.0,4.0,2.0,4.0,1.0,3.0,1.0,1.0,4.0
2022-11-12,8.0,0.0,3.0,0.0,1.0,2.0,3.0,0.0,1.0,2.0
2022-11-16,13.0,0.0,0.0,3.0,0.0,1.0,5.0,2.0,1.0,2.0
2022-11-18,8.0,0.0,4.0,0.0,0.0,2.0,3.0,0.0,1.0,1.0
2022-11-19,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0
2022-11-28,12.0,2.0,1.0,1.0,2.0,4.0,4.0,0.0,1.0,4.0
2022-11-30,6.0,0.0,4.0,0.0,2.0,0.0,3.0,0.0,1.0,2.0
2022-12-02,13.0,0.0,10.0,2.0,2.0,2.0,4.0,3.0,1.0,4.0
2022-12-04,16.0,0.0,8.0,1.0,3.0,2.0,7.0,0.0,1.0,6.0
2022-12-05,31.0,0.0,13.0,1.0,4.0,5.0,13.0,0.0,1.0,8.0
2022-12-07,7.0,0.0,3.0,2.0,3.0,1.0,3.0,0.0,1.0,6.0
2022-12-09,3.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,3.0
2022-12-10,5.0,0.0,7.0,2.0,2.0,1.0,2.0,0.0,1.0,2.0
2022-12-12,18.0,1.0,2.0,1.0,3.0,3.0,6.0,3.0,1.0,5.0
2022-12-14,8.0,0.0,3.0,1.0,1.0,0.0,4.0,0.0,1.0,3.0
