player_game_num_career,date,pts,blk,orb,drb,ast,stl,tov,fg3,fg,ft
1.0,2024-04-21,6.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,1.0
2.0,2024-04-23,20.0,0.0,3.0,1.0,3.0,0.0,0.0,1.0,8.0,3.0
3.0,2024-04-26,16.0,0.0,3.0,2.0,4.0,0.0,1.0,3.0,6.0,1.0
4.0,2024-04-28,15.0,0.0,0.0,3.0,9.0,0.0,0.0,3.0,6.0,0.0
5.0,2024-04-30,12.0,0.0,0.0,3.0,5.0,1.0,3.0,0.0,6.0,0.0
6.0,2024-05-02,14.0,1.0,1.0,4.0,4.0,2.0,1.0,1.0,6.0,1.0
7.0,2024-05-06,11.0,0.0,0.0,2.0,4.0,0.0,0.0,1.0,4.0,2.0
8.0,2024-05-08,15.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,7.0,0.0
9.0,2024-05-10,5.0,0.0,1.0,4.0,6.0,0.0,2.0,1.0,2.0,0.0
10.0,2024-05-12,9.0,0.0,0.0,1.0,5.0,0.0,2.0,1.0,4.0,0.0
11.0,2024-05-14,11.0,1.0,1.0,1.0,4.0,0.0,2.0,2.0,4.0,1.0
12.0,2024-05-17,15.0,1.0,2.0,4.0,6.0,0.0,0.0,3.0,6.0,0.0
13.0,2024-05-19,20.0,0.0,0.0,5.0,6.0,1.0,4.0,1.0,8.0,3.0
14.0,2024-05-21,12.0,0.0,0.0,3.0,7.0,0.0,1.0,2.0,5.0,0.0
15.0,2024-05-23,16.0,0.0,1.0,1.0,5.0,1.0,1.0,1.0,6.0,3.0
16.0,2024-05-25,32.0,0.0,0.0,4.0,9.0,0.0,2.0,4.0,12.0,4.0
17.0,2024-05-27,24.0,1.0,2.0,4.0,10.0,1.0,3.0,3.0,10.0,1.0
18.0,2025-04-19,17.0,0.0,0.0,4.0,5.0,2.0,1.0,1.0,8.0,0.0
19.0,2025-04-22,17.0,0.0,0.0,3.0,6.0,0.0,1.0,3.0,6.0,2.0
20.0,2025-04-25,6.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,2.0,2.0
21.0,2025-04-27,20.0,0.0,0.0,3.0,2.0,1.0,1.0,4.0,8.0,0.0
22.0,2025-04-29,15.0,1.0,1.0,5.0,6.0,3.0,1.0,3.0,5.0,2.0
23.0,2025-05-04,23.0,0.0,0.0,0.0,6.0,0.0,0.0,5.0,7.0,4.0
24.0,2025-05-06,13.0,0.0,2.0,5.0,13.0,2.0,8.0,0.0,5.0,3.0
25.0,2025-05-09,10.0,1.0,0.0,4.0,4.0,1.0,3.0,2.0,4.0,0.0
26.0,2025-05-11,7.0,0.0,2.0,1.0,7.0,3.0,0.0,1.0,3.0,0.0
27.0,2025-05-13,18.0,1.0,0.0,3.0,6.0,1.0,2.0,3.0,7.0,1.0
28.0,2025-05-21,15.0,0.0,2.0,2.0,4.0,0.0,3.0,2.0,6.0,1.0
29.0,2025-05-23,12.0,0.0,0.0,3.0,2.0,1.0,0.0,2.0,5.0,0.0
30.0,2025-05-25,9.0,0.0,0.0,4.0,3.0,1.0,0.0,0.0,2.0,5.0
