date,pts,blk,ast,stl,tov,fg3,fg,ft,is_playoff,reb
2021-10-20,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
2021-10-22,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-10-24,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0
2021-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-11-03,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
2021-11-04,13.0,0.0,1.0,0.0,0.0,3.0,5.0,0.0,1.0,3.0
2021-11-06,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,3.0
2021-11-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2021-11-12,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0
2021-11-13,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0
2021-11-15,4.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,3.0
2021-11-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0
2021-11-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2021-11-20,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0
2021-11-22,5.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0
2021-11-24,5.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0
2021-11-26,5.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0
2021-12-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
2021-12-04,11.0,0.0,3.0,1.0,0.0,3.0,3.0,2.0,1.0,3.0
2021-12-07,9.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0
2021-12-08,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
2021-12-10,2.0,1.0,0.0,2.0,3.0,0.0,1.0,0.0,1.0,4.0
2021-12-13,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-12-17,11.0,0.0,0.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0
2021-12-18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0
2021-12-20,4.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,3.0
2021-12-22,5.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0
2022-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
2022-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2022-01-14,10.0,1.0,1.0,2.0,0.0,1.0,4.0,1.0,1.0,1.0
2022-01-17,5.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,6.0
2022-01-23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0
2022-01-25,10.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,1.0,4.0
2022-01-28,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2022-01-29,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2022-01-31,4.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,1.0,0.0
2022-02-04,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0
2022-02-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2022-02-08,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0
2022-02-15,18.0,2.0,0.0,0.0,3.0,3.0,6.0,3.0,1.0,3.0
2022-02-16,5.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,3.0
2022-02-24,6.0,0.0,2.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0
2022-02-27,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
2022-03-01,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0
2022-03-03,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2022-03-23,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2022-03-27,6.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,4.0
2022-03-28,13.0,0.0,1.0,3.0,0.0,2.0,5.0,1.0,1.0,4.0
2022-04-03,11.0,0.0,2.0,1.0,0.0,3.0,4.0,0.0,1.0,0.0
2022-04-06,8.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,1.0,1.0
2022-04-07,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0
2022-04-10,5.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,3.0
2022-05-01,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.3,1.0
2022-05-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,1.0
2022-05-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,1.0
2022-05-15,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.3,1.0
2022-05-17,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,1.3,1.0
2022-05-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,1.0
2022-05-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0
2022-05-23,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.3,5.0
2022-05-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0
2022-05-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0
2022-06-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0
2022-06-05,4.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,1.3,2.0
2022-06-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,1.0
2022-06-13,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.3,1.0
2022-06-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0
2022-10-19,3.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,4.0
2022-10-21,9.0,1.0,2.0,0.0,1.0,1.0,4.0,0.0,1.0,4.0
2022-10-22,7.0,3.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0
2022-10-24,9.0,0.0,1.0,0.0,1.0,1.0,4.0,0.0,1.0,2.0
2022-10-26,9.0,1.0,2.0,0.0,2.0,1.0,4.0,0.0,1.0,3.0
2022-10-28,15.0,0.0,3.0,1.0,1.0,2.0,4.0,5.0,1.0,7.0
2022-11-09,0.0,1.0,3.0,1.0,2.0,0.0,0.0,0.0,1.0,3.0
2022-11-12,10.0,1.0,2.0,0.0,1.0,2.0,3.0,2.0,1.0,2.0
2022-11-16,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0
2022-11-18,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2022-11-19,19.0,0.0,0.0,0.0,1.0,5.0,5.0,4.0,1.0,3.0
2022-11-21,9.0,0.0,2.0,1.0,4.0,2.0,3.0,1.0,1.0,8.0
2022-11-23,3.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0
2022-11-25,10.0,1.0,1.0,2.0,1.0,1.0,3.0,3.0,1.0,2.0
2022-11-27,2.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0
2022-11-28,16.0,1.0,0.0,1.0,0.0,4.0,5.0,2.0,1.0,4.0
2022-11-30,8.0,1.0,1.0,1.0,1.0,2.0,3.0,0.0,1.0,4.0
2022-12-02,8.0,0.0,2.0,4.0,0.0,2.0,3.0,0.0,1.0,3.0
2022-12-04,10.0,0.0,1.0,3.0,1.0,0.0,3.0,4.0,1.0,3.0
2022-12-05,5.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,3.0
2022-12-07,9.0,0.0,0.0,1.0,2.0,1.0,3.0,2.0,1.0,3.0
2022-12-09,9.0,0.0,0.0,0.0,2.0,3.0,3.0,0.0,1.0,2.0
2022-12-10,12.0,0.0,1.0,0.0,1.0,2.0,4.0,2.0,1.0,3.0
2022-12-12,12.0,3.0,0.0,2.0,2.0,2.0,5.0,0.0,1.0,6.0
2022-12-14,6.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,1.0,3.0
2022-12-16,14.0,0.0,1.0,0.0,0.0,2.0,6.0,0.0,1.0,4.0
2022-12-18,23.0,0.0,0.0,1.0,1.0,4.0,9.0,1.0,1.0,10.0
2022-12-21,15.0,0.0,3.0,2.0,1.0,1.0,6.0,2.0,1.0,6.0
2022-12-26,10.0,0.0,2.0,0.0,1.0,0.0,5.0,0.0,1.0,5.0
