ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,279,1,2024-10-22,LAL,,MIN,"W, 110-103",1,35:05,7,14,.500,1,4,.250,6,10,.600,.536,3,4,.750,3,2,5,1,2,1,0,2,18,15.9,19
2,280,2,2024-10-25,LAL,,PHO,"W, 123-116",1,39:01,5,12,.417,2,4,.500,3,8,.375,.500,2,4,.500,2,5,7,2,0,0,1,1,14,9.7,0
3,281,3,2024-10-26,LAL,,SAC,"W, 131-127",1,37:20,5,13,.385,2,2,1.000,3,11,.273,.462,6,6,1.000,4,5,9,3,0,0,1,1,18,15.9,17
4,282,4,2024-10-28,LAL,@,PHO,"L, 105-109",1,31:21,8,18,.444,3,3,1.000,5,15,.333,.528,1,1,1.000,5,5,10,1,1,1,0,5,20,16.0,20
5,283,5,2024-10-30,LAL,@,CLE,"L, 110-134",1,28:17,4,6,.667,0,1,.000,4,5,.800,.667,0,0,,0,5,5,2,1,0,2,1,8,6.9,-11
6,284,6,2024-11-01,LAL,@,TOR,"W, 131-125",1,33:13,3,12,.250,2,5,.400,1,7,.143,.333,1,1,1.000,1,4,5,1,0,0,1,0,9,3.4,-6
7,285,7,2024-11-04,LAL,@,DET,"L, 103-115",1,34:46,2,6,.333,2,2,1.000,0,4,.000,.500,2,2,1.000,0,4,4,1,0,1,0,2,8,6.4,-7
7,,8,2024-11-06,LAL,@,MEM,"L, 114-131",Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,
8,286,9,2024-11-08,LAL,,PHI,"W, 116-106",1,32:50,3,8,.375,3,6,.500,0,2,.000,.563,0,0,,1,3,4,1,0,0,1,5,9,3.9,-4
9,287,10,2024-11-10,LAL,,TOR,"W, 123-103",1,31:40,2,11,.182,0,5,.000,2,6,.333,.182,0,0,,3,2,5,0,2,1,0,2,4,1.7,6
10,288,11,2024-11-13,LAL,,MEM,"W, 128-123",1,35:47,6,7,.857,3,4,.750,3,3,1.000,1.071,4,5,.800,3,4,7,3,1,1,1,1,19,21.8,7
10,,12,2024-11-15,LAL,@,SAS,"W, 120-115",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
10,,13,2024-11-16,LAL,@,NOP,"W, 104-99",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
10,,14,2024-11-19,LAL,,UTA,"W, 124-118",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
10,,15,2024-11-21,LAL,,ORL,"L, 118-119",Did Not Dress,,,,,,,,,,,,,,,,,,,,,,,,,
11,289,16,2024-11-23,LAL,,DEN,"L, 102-127",1,22:27,4,7,.571,2,4,.500,2,3,.667,.714,0,0,,1,1,2,3,1,0,0,1,10,10.4,-13
12,290,17,2024-11-26,LAL,@,PHO,"L, 100-127",1,23:08,3,8,.375,1,4,.250,2,4,.500,.438,0,0,,0,1,1,1,0,0,0,1,7,3.2,-10
13,291,18,2024-11-27,LAL,@,SAS,"W, 119-101",1,25:51,5,9,.556,2,4,.500,3,5,.600,.667,4,4,1.000,2,3,5,2,0,1,0,3,16,14.9,-1
14,292,19,2024-11-29,LAL,,OKC,"L, 93-101",1,30:15,4,7,.571,0,1,.000,4,6,.667,.571,0,0,,3,2,5,2,1,2,1,1,8,9.8,-8
15,293,20,2024-12-01,LAL,@,UTA,"W, 105-104",1,40:25,5,11,.455,2,8,.250,3,3,1.000,.545,1,2,.500,3,4,7,3,2,0,0,4,13,12.7,-2
16,294,21,2024-12-02,LAL,@,MIN,"L, 80-109",1,29:03,4,5,.800,0,1,.000,4,4,1.000,.800,2,2,1.000,1,3,4,2,2,0,2,2,10,10.3,-11
17,295,22,2024-12-04,LAL,@,MIA,"L, 93-134",1,26:28,6,7,.857,1,2,.500,5,5,1.000,.929,1,1,1.000,0,3,3,1,0,1,1,0,14,12.8,-27
18,296,23,2024-12-06,LAL,@,ATL,"L, 132-134 (OT)",1,40:36,5,6,.833,2,2,1.000,3,4,.750,1.000,0,0,,2,7,9,1,2,2,0,2,12,16.6,5
19,297,24,2024-12-08,LAL,,POR,"W, 107-98",1,38:56,9,13,.692,3,5,.600,6,8,.750,.808,2,2,1.000,1,4,5,2,4,1,1,3,23,23.3,31
20,298,25,2024-12-13,LAL,@,MIN,"L, 87-97",1,39:14,4,13,.308,0,2,.000,4,11,.364,.308,1,2,.500,2,5,7,3,2,0,3,2,9,4.3,-18
21,299,26,2024-12-15,LAL,,MEM,"W, 116-110",1,37:43,2,5,.400,0,1,.000,2,4,.500,.400,4,6,.667,1,5,6,1,1,1,3,5,8,4.1,13
22,300,27,2024-12-19,LAL,@,SAC,"W, 113-100",1,36:34,3,9,.333,1,4,.250,2,5,.400,.389,3,4,.750,1,4,5,2,0,1,4,1,10,4.1,21
23,301,28,2024-12-21,LAL,@,SAC,"W, 103-99",1,38:23,4,8,.500,1,5,.200,3,3,1.000,.563,0,0,,3,8,11,1,1,1,0,2,9,11.1,10
24,302,29,2024-12-23,LAL,,DET,"L, 114-117",1,28:38,3,8,.375,0,2,.000,3,6,.500,.375,4,4,1.000,0,1,1,1,1,0,1,1,10,6.2,-5
25,303,30,2024-12-25,LAL,@,GSW,"W, 115-113",1,39:06,6,12,.500,5,7,.714,1,5,.200,.708,1,1,1.000,1,3,4,1,0,1,1,4,18,12.4,-5
26,304,31,2024-12-28,LAL,,SAC,"W, 132-122",1,34:14,7,11,.636,4,5,.800,3,6,.500,.818,3,3,1.000,0,4,4,0,1,2,1,1,21,18.3,-1
27,305,32,2024-12-31,LAL,,CLE,"L, 110-122",1,30:23,3,10,.300,0,3,.000,3,7,.429,.300,1,2,.500,3,2,5,0,1,0,1,1,7,3.1,-17
28,306,33,2025-01-02,LAL,,POR,"W, 114-106",1,23:24,2,6,.333,0,4,.000,2,2,1.000,.333,2,2,1.000,1,3,4,3,0,0,2,1,6,3.9,-3
29,307,34,2025-01-03,LAL,,ATL,"W, 119-102",1,24:29,6,9,.667,1,3,.333,5,6,.833,.722,0,1,.000,3,5,8,1,0,1,1,2,13,11.9,10
30,308,35,2025-01-05,LAL,@,HOU,"L, 115-119",1,28:01,5,9,.556,3,6,.500,2,3,.667,.722,0,2,.000,1,0,1,0,0,0,1,2,13,6.8,4
