ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,303,1,2024-10-23,BRK,@,ATL,"L, 116-120",0,06:20,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,8
2,304,2,2024-10-25,BRK,@,ORL,"L, 101-116",0,16:35,1,2,.500,1,2,.500,0,0,,.750,0,0,,0,1,1,2,0,0,0,3,3,2.5,-12
3,305,3,2024-10-27,BRK,,MIL,"W, 115-102",0,01:58,0,0,,0,0,,0,0,,,0,0,,0,0,0,1,0,0,0,0,0,0.7,-4
4,306,4,2024-10-29,BRK,,DEN,"L, 139-144 (OT)",0,16:33,1,5,.200,1,5,.200,0,0,,.300,0,0,,0,1,1,2,1,0,0,2,3,1.8,8
5,307,5,2024-10-30,BRK,@,MEM,"W, 119-106",0,01:07,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,0,0,0,0,0,0.3,0
5,,6,2024-11-01,BRK,,CHI,"W, 120-112",Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,
6,308,7,2024-11-03,BRK,,DET,"L, 92-106",0,01:36,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
7,309,8,2024-11-04,BRK,,MEM,"W, 106-104",0,11:32,1,2,.500,1,2,.500,0,0,,.750,2,2,1.000,2,2,4,0,0,0,1,0,5,5.0,-14
7,,9,2024-11-08,BRK,@,BOS,"L, 104-108 (OT)",Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,
8,310,10,2024-11-09,BRK,@,CLE,"L, 100-105",0,17:48,1,3,.333,1,3,.333,0,0,,.500,0,0,,0,0,0,1,1,0,0,2,3,2.2,-16
8,,11,2024-11-11,BRK,@,NOP,"W, 107-105",Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,
9,311,12,2024-11-13,BRK,,BOS,"L, 114-139",0,24:29,3,5,.600,2,3,.667,1,2,.500,.800,0,0,,0,0,0,8,0,0,1,0,8,10.3,-16
10,312,13,2024-11-15,BRK,@,NYK,"L, 122-124",0,05:30,1,3,.333,0,1,.000,1,2,.500,.333,0,0,,2,0,2,0,0,0,0,2,2,0.9,-12
11,313,14,2024-11-17,BRK,@,NYK,"L, 104-114",0,01:17,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0.0,3
12,314,15,2024-11-19,BRK,,CHO,"W, 116-115",0,18:21,3,5,.600,1,2,.500,2,3,.667,.700,0,1,.000,1,0,1,3,0,0,0,0,7,7.1,-9
12,,16,2024-11-22,BRK,@,PHI,"L, 98-113",Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,
13,315,17,2024-11-24,BRK,@,SAC,"W, 108-103",0,21:02,4,6,.667,2,4,.500,2,2,1.000,.833,0,0,,0,2,2,3,1,0,1,1,10,9.7,10
14,316,18,2024-11-25,BRK,@,GSW,"W, 128-120",0,28:29,5,10,.500,2,3,.667,3,7,.429,.600,1,2,.500,0,3,3,3,0,0,1,1,13,9.2,11
15,317,19,2024-11-27,BRK,@,PHO,"W, 127-117",0,21:13,1,2,.500,0,1,.000,1,1,1.000,.500,0,0,,0,1,1,5,1,0,0,2,2,5.0,4
16,318,20,2024-11-29,BRK,,ORL,"L, 100-123",0,34:22,7,13,.538,2,4,.500,5,9,.556,.615,6,7,.857,1,1,2,4,1,0,3,1,22,16.7,-8
17,319,21,2024-12-01,BRK,,ORL,"L, 92-100",0,19:32,2,4,.500,1,3,.333,1,1,1.000,.625,1,2,.500,0,2,2,0,0,0,1,2,6,2.4,2
18,320,22,2024-12-02,BRK,@,CHI,"L, 102-128",0,34:41,6,17,.353,2,4,.500,4,13,.308,.412,0,0,,3,3,6,5,1,1,3,1,14,9.3,-16
19,321,23,2024-12-04,BRK,,IND,"W, 99-90",0,28:13,6,11,.545,1,4,.250,5,7,.714,.591,2,3,.667,0,3,3,4,2,0,0,4,15,13.4,21
20,322,24,2024-12-08,BRK,,MIL,"L, 113-118",0,15:59,2,4,.500,2,4,.500,0,0,,.750,0,0,,0,1,1,0,0,0,2,2,6,1.5,-9
21,323,25,2024-12-13,BRK,@,MEM,"L, 119-135",0,16:28,4,8,.500,0,3,.000,4,5,.800,.500,4,5,.800,2,2,4,3,2,0,0,1,12,13.3,7
22,324,26,2024-12-16,BRK,,CLE,"L, 101-130",0,17:11,2,9,.222,1,2,.500,1,7,.143,.278,0,0,,2,3,5,1,0,0,1,6,5,-0.9,-13
23,325,27,2024-12-19,BRK,@,TOR,"W, 101-94",0,29:21,5,10,.500,0,4,.000,5,6,.833,.500,2,2,1.000,1,2,3,2,0,0,1,1,12,8.3,10
24,326,28,2024-12-21,BRK,,UTA,"L, 94-105",0,25:34,5,10,.500,1,4,.250,4,6,.667,.550,0,0,,1,1,2,2,1,0,0,5,11,7.4,-7
25,327,29,2024-12-23,BRK,@,MIA,"L, 95-110",0,19:14,1,8,.125,0,2,.000,1,6,.167,.125,2,2,1.000,0,2,2,3,2,0,2,3,4,0.3,-16
26,328,30,2024-12-26,BRK,@,MIL,"W, 111-105",0,22:54,7,10,.700,4,6,.667,3,4,.750,.900,2,3,.667,1,1,2,0,1,0,2,1,20,15.0,-6
27,329,31,2024-12-27,BRK,,SAS,"L, 87-96",1,34:18,5,9,.556,3,6,.500,2,3,.667,.722,3,4,.750,0,3,3,12,1,0,1,3,16,19.4,7
27,,32,2024-12-29,BRK,@,ORL,"L, 101-102",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
28,330,32,2024-12-31,LAL,,CLE,"L, 110-122",0,10:05,2,4,.500,2,4,.500,0,0,,.750,0,0,,0,2,2,0,0,0,0,1,6,4.2,-9
29,331,33,2025-01-02,LAL,,POR,"W, 114-106",0,16:19,2,5,.400,0,3,.000,2,2,1.000,.400,0,0,,0,3,3,0,0,0,0,0,4,2.2,2
30,332,34,2025-01-03,LAL,,ATL,"W, 119-102",0,13:29,0,3,.000,0,2,.000,0,1,.000,.000,2,2,1.000,0,4,4,4,0,1,1,1,2,3.2,1
31,333,35,2025-01-05,LAL,@,HOU,"L, 115-119",0,04:58,0,0,,0,0,,0,0,,,1,2,.500,1,0,1,0,0,0,2,0,1,-0.7,-16
31,,36,2025-01-07,LAL,@,DAL,"L, 97-118",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
31,,37,2025-01-13,LAL,,SAS,"L, 102-126",Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,
32,334,38,2025-01-15,LAL,,MIA,"W, 117-108",0,05:41,0,2,.000,0,1,.000,0,1,.000,.000,0,0,,0,0,0,0,0,0,0,1,0,-1.8,-8
33,335,39,2025-01-17,LAL,,BRK,"W, 102-101",0,07:26,0,0,,0,0,,0,0,,,0,0,,0,0,0,1,0,0,0,0,0,0.7,3
33,,40,2025-01-19,LAL,@,LAC,"L, 102-116",Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,
33,,41,2025-01-21,LAL,,WAS,"W, 111-88",Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,
34,336,42,2025-01-23,LAL,,BOS,"W, 117-96",0,03:26,0,0,,0,0,,0,0,,,2,2,1.000,0,0,0,3,0,0,1,0,2,3.1,-5
34,,43,2025-01-25,LAL,@,GSW,"W, 118-108",Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,
35,337,44,2025-01-27,LAL,@,CHO,"W, 112-107",0,12:05,0,2,.000,0,0,,0,2,.000,.000,0,0,,1,1,2,1,0,0,0,3,0,-0.9,-6
36,338,45,2025-01-28,LAL,@,PHI,"L, 104-118",0,06:14,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,3
37,339,46,2025-01-30,LAL,@,WAS,"W, 134-96",0,27:55,7,8,.875,1,2,.500,6,6,1.000,.938,6,6,1.000,1,3,4,4,2,0,0,2,21,23.8,25
37,,47,2025-02-01,LAL,@,NYK,"W, 128-112",Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,
38,340,48,2025-02-04,LAL,@,LAC,"W, 122-97",0,19:56,2,3,.667,0,1,.000,2,2,1.000,.667,0,0,,1,1,2,3,0,0,4,2,4,1.0,12
39,341,49,2025-02-06,LAL,,GSW,"W, 120-112",0,15:13,1,3,.333,0,0,,1,3,.333,.333,0,0,,0,3,3,2,1,1,1,1,2,2.9,8
40,342,50,2025-02-08,LAL,,IND,"W, 124-117",0,15:11,1,4,.250,0,1,.000,1,3,.333,.250,0,1,.000,0,3,3,4,0,0,0,2,2,2.1,-4
41,343,51,2025-02-10,LAL,,UTA,"W, 132-113",0,07:47,0,2,.000,0,2,.000,0,0,,.000,2,2,1.000,0,1,1,1,0,0,0,0,2,1.6,-14
42,344,52,2025-02-12,LAL,@,UTA,"L, 119-131",0,12:16,3,5,.600,1,2,.500,2,3,.667,.700,2,2,1.000,3,1,4,1,0,0,2,0,9,7.8,5
42,,53,2025-02-19,LAL,,CHO,"L, 97-100",Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,
43,345,54,2025-02-20,LAL,@,POR,"W, 110-102",0,04:34,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,2,2,0,0,0,0,0,0,-0.1,0
44,346,55,2025-02-22,LAL,@,DEN,"W, 123-100",0,03:19,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,0,0,1,0,0,-0.7,1
44,,56,2025-02-25,LAL,,DAL,"W, 107-99",Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,
44,,57,2025-02-27,LAL,,MIN,"W, 111-102",Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,
44,,58,2025-02-28,LAL,,LAC,"W, 106-102",Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,
45,347,59,2025-03-02,LAL,,LAC,"W, 108-102",0,08:29,2,3,.667,2,2,1.000,0,1,.000,1.000,0,0,,0,1,1,0,0,0,0,1,6,4.6,-16
46,348,60,2025-03-04,LAL,,NOP,"W, 136-115",0,18:43,5,7,.714,2,4,.500,3,3,1.000,.857,0,0,,1,1,2,2,2,0,1,0,12,12.5,30
46,,61,2025-03-06,LAL,,NYK,"W, 113-109 (OT)",Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,
46,,62,2025-03-08,LAL,@,BOS,"L, 101-111",Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,
47,349,63,2025-03-10,LAL,@,BRK,"L, 108-111",0,05:39,0,0,,0,0,,0,0,,,0,0,,0,0,0,1,0,0,0,0,0,0.7,-4
48,350,64,2025-03-13,LAL,@,MIL,"L, 106-126",0,04:06,0,2,.000,0,1,.000,0,1,.000,.000,0,0,,0,1,1,0,1,0,0,0,0,-0.1,0
49,351,65,2025-03-14,LAL,@,DEN,"L, 126-131",0,28:20,7,11,.636,1,2,.500,6,9,.667,.682,1,1,1.000,1,4,5,3,1,0,2,1,16,13.7,10
49,,66,2025-03-16,LAL,,PHO,"W, 107-96",Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,
50,352,67,2025-03-17,LAL,,SAS,"W, 125-109",0,07:03,1,1,1.000,0,0,,1,1,1.000,1.000,0,0,,0,0,0,1,1,0,0,0,2,3.4,4
51,353,68,2025-03-19,LAL,,DEN,"W, 120-108",0,06:35,0,4,.000,0,1,.000,0,3,.000,.000,1,2,.500,1,0,1,0,0,0,0,1,1,-1.9,-11
52,354,69,2025-03-20,LAL,,MIL,"L, 89-118",0,22:30,2,6,.333,0,1,.000,2,5,.400,.333,0,0,,4,2,6,3,0,0,2,6,4,1.7,-37
53,355,70,2025-03-22,LAL,,CHI,"L, 115-146",0,06:42,1,3,.333,0,1,.000,1,2,.500,.333,0,0,,0,1,1,1,0,0,0,0,2,1.3,-8
53,,71,2025-03-24,LAL,@,ORL,"L, 106-118",Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,
53,,72,2025-03-26,LAL,@,IND,"W, 120-119",Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,
53,,73,2025-03-27,LAL,@,CHI,"L, 117-119",Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,
53,,74,2025-03-29,LAL,@,MEM,"W, 134-127",Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,
53,,75,2025-03-31,LAL,,HOU,"W, 104-98",Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,
53,,76,2025-04-03,LAL,,GSW,"L, 116-123",Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,
54,356,77,2025-04-04,LAL,,NOP,"W, 124-108",0,01:53,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-1
