player_game_num_career,date,pts,blk,orb,drb,ast,stl,tov,fg3,fg,ft
48.0,2022-04-16,24.0,3.0,0.0,3.0,7.0,0.0,0.0,1.0,9.0,5.0
49.0,2022-04-18,20.0,0.0,4.0,6.0,5.0,1.0,2.0,0.0,7.0,6.0
50.0,2022-04-20,12.0,1.0,1.0,4.0,4.0,2.0,3.0,0.0,6.0,0.0
51.0,2022-04-23,34.0,2.0,0.0,8.0,5.0,1.0,3.0,1.0,10.0,13.0
52.0,2022-04-25,23.0,0.0,0.0,10.0,7.0,0.0,2.0,2.0,10.0,1.0
53.0,2022-04-28,24.0,0.0,3.0,4.0,7.0,3.0,3.0,0.0,9.0,6.0
54.0,2024-04-21,36.0,2.0,5.0,8.0,2.0,1.0,1.0,1.0,15.0,5.0
55.0,2024-04-23,37.0,0.0,1.0,10.0,6.0,0.0,0.0,3.0,16.0,2.0
56.0,2024-04-26,17.0,1.0,4.0,5.0,4.0,1.0,0.0,0.0,7.0,3.0
57.0,2024-04-28,13.0,1.0,1.0,8.0,7.0,2.0,0.0,0.0,6.0,1.0
58.0,2024-04-30,12.0,0.0,2.0,2.0,2.0,0.0,1.0,1.0,5.0,1.0
59.0,2024-05-02,19.0,0.0,1.0,6.0,4.0,1.0,1.0,1.0,9.0,0.0
60.0,2024-05-06,19.0,0.0,2.0,4.0,5.0,1.0,1.0,1.0,8.0,2.0
61.0,2024-05-08,14.0,1.0,5.0,4.0,2.0,0.0,0.0,0.0,7.0,0.0
62.0,2024-05-10,26.0,1.0,3.0,4.0,1.0,0.0,3.0,1.0,9.0,7.0
63.0,2024-05-12,14.0,0.0,1.0,3.0,2.0,1.0,0.0,0.0,7.0,0.0
64.0,2024-05-14,22.0,0.0,3.0,5.0,2.0,1.0,2.0,2.0,7.0,6.0
65.0,2024-05-17,25.0,0.0,3.0,4.0,5.0,2.0,1.0,0.0,11.0,3.0
66.0,2024-05-19,20.0,1.0,0.0,4.0,4.0,1.0,1.0,2.0,8.0,2.0
67.0,2024-05-21,24.0,0.0,3.0,9.0,7.0,1.0,2.0,0.0,12.0,0.0
68.0,2024-05-23,28.0,0.0,2.0,3.0,2.0,0.0,2.0,2.0,13.0,0.0
69.0,2024-05-25,22.0,0.0,2.0,1.0,6.0,1.0,1.0,0.0,9.0,4.0
70.0,2024-05-27,19.0,0.0,4.0,6.0,3.0,0.0,3.0,0.0,8.0,3.0
71.0,2025-04-19,25.0,1.0,0.0,7.0,2.0,1.0,1.0,3.0,10.0,2.0
72.0,2025-04-22,24.0,0.0,2.0,9.0,3.0,3.0,2.0,2.0,8.0,6.0
73.0,2025-04-25,28.0,0.0,0.0,5.0,2.0,2.0,0.0,3.0,12.0,1.0
74.0,2025-04-27,12.0,1.0,0.0,3.0,4.0,0.0,1.0,0.0,5.0,2.0
75.0,2025-04-29,10.0,0.0,0.0,4.0,1.0,0.0,2.0,0.0,5.0,0.0
76.0,2025-05-04,17.0,0.0,1.0,7.0,4.0,1.0,2.0,2.0,6.0,3.0
77.0,2025-05-06,12.0,0.0,0.0,6.0,4.0,0.0,2.0,0.0,5.0,2.0
78.0,2025-05-09,18.0,0.0,2.0,2.0,3.0,0.0,1.0,1.0,8.0,1.0
79.0,2025-05-11,21.0,0.0,1.0,5.0,3.0,1.0,1.0,2.0,9.0,1.0
80.0,2025-05-13,21.0,1.0,0.0,8.0,5.0,1.0,0.0,2.0,8.0,3.0
81.0,2025-05-21,17.0,0.0,1.0,4.0,6.0,2.0,0.0,0.0,7.0,3.0
82.0,2025-05-23,39.0,0.0,0.0,5.0,3.0,1.0,1.0,3.0,15.0,6.0
83.0,2025-05-25,17.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,7.0,3.0
