ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
,,1,2024-10-23,NOP,,CHI,"W, 123-111",Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,
,,2,2024-10-25,NOP,@,POR,"W, 105-103",Inactive,,,,,,,,,,,,,,,,,,,,,,,,
,,3,2024-10-27,NOP,@,POR,"L, 103-125",Inactive,,,,,,,,,,,,,,,,,,,,,,,,
,,4,2024-10-29,NOP,@,GSW,"L, 106-124",Inactive,,,,,,,,,,,,,,,,,,,,,,,,
1,26,5,2024-10-30,NOP,@,GSW,"L, 89-104",0,01:22,1,2,.500,0,0,1,2,.500,.500,0,0,,2,0,2,0,0,0,0,0,2,2.4,0
1,,6,2024-11-01,NOP,,IND,"W, 125-118",Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,
2,27,7,2024-11-03,NOP,,ATL,"L, 111-126",0,03:33,0,2,.000,0,0,0,2,.000,.000,0,0,,1,2,3,0,0,0,0,0,0,-0.1,4
3,28,8,2024-11-04,NOP,,POR,"L, 100-118",0,01:53,1,1,1.000,0,0,1,1,1.000,1.000,0,0,,1,0,1,1,0,0,0,0,2,3.1,0
3,,9,2024-11-06,NOP,,CLE,"L, 122-131",Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,
4,29,10,2024-11-08,NOP,@,ORL,"L, 88-115",0,12:47,0,1,.000,0,0,0,1,.000,.000,0,0,,1,2,3,0,0,0,2,5,0,-3.4,10
5,30,11,2024-11-11,NOP,,BRK,"L, 105-107",0,09:10,1,2,.500,0,0,1,2,.500,.500,0,0,,3,1,4,1,1,1,0,1,2,5.4,2
6,31,12,2024-11-13,NOP,@,OKC,"L, 88-106",0,17:42,2,3,.667,0,0,2,3,.667,.667,2,4,.500,4,4,8,2,0,2,3,3,6,6.5,0
7,32,13,2024-11-15,NOP,,DEN,"W, 101-94",0,14:47,2,3,.667,0,0,2,3,.667,.667,2,2,1.000,2,1,3,1,0,1,1,4,6,5.2,5
8,33,14,2024-11-16,NOP,,LAL,"L, 99-104",0,19:20,3,4,.750,0,0,3,4,.750,.750,2,2,1.000,0,2,2,0,1,0,0,3,8,6.8,-3
9,34,15,2024-11-19,NOP,@,DAL,"L, 91-132",0,17:01,1,2,.500,0,0,1,2,.500,.500,0,0,,0,1,1,1,2,0,2,2,2,1.2,-14
10,35,16,2024-11-20,NOP,@,CLE,"L, 100-128",0,15:24,0,3,.000,0,0,0,3,.000,.000,0,2,.000,1,1,2,1,1,1,0,0,0,0.5,-6
11,36,17,2024-11-22,NOP,,GSW,"L, 108-112",0,11:30,1,1,1.000,0,0,1,1,1.000,1.000,0,1,.000,1,3,4,0,1,0,0,2,2,3.1,-7
11,,18,2024-11-25,NOP,@,IND,"L, 110-114",Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,
12,37,19,2024-11-27,NOP,,TOR,"L, 93-119",0,06:17,2,2,1.000,0,0,2,2,1.000,1.000,0,0,,0,1,1,1,0,0,2,2,4,1.6,2
12,,20,2024-11-29,NOP,@,MEM,"L, 109-120",Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,
13,38,21,2024-12-01,NOP,@,NYK,"L, 85-118",0,14:38,0,2,.000,0,0,0,2,.000,.000,0,2,.000,0,3,3,0,0,1,0,2,0,-1.4,-7
13,,22,2024-12-02,NOP,@,ATL,"L, 112-124",Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,
13,,23,2024-12-05,NOP,,PHO,"W, 126-124",Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,
13,,24,2024-12-07,NOP,,OKC,"L, 109-119",Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,
