player_game_num_career,date,pts,blk,orb,drb,ast,stl,tov,fg3,fg,ft
27.0,2024-04-21,17.0,0.0,1.0,7.0,2.0,2.0,1.0,3.0,5.0,4.0
28.0,2024-04-23,22.0,3.0,0.0,7.0,6.0,0.0,0.0,3.0,9.0,1.0
29.0,2024-04-26,29.0,0.0,1.0,8.0,1.0,1.0,0.0,4.0,10.0,5.0
30.0,2024-04-28,29.0,3.0,1.0,8.0,4.0,0.0,0.0,7.0,10.0,2.0
31.0,2024-04-30,13.0,0.0,2.0,3.0,3.0,0.0,1.0,1.0,6.0,0.0
32.0,2024-05-02,5.0,1.0,2.0,3.0,1.0,0.0,1.0,0.0,1.0,3.0
33.0,2024-05-06,23.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,8.0,5.0
34.0,2024-05-08,6.0,1.0,2.0,5.0,1.0,0.0,2.0,0.0,3.0,0.0
35.0,2024-05-10,21.0,3.0,6.0,4.0,1.0,0.0,1.0,2.0,7.0,5.0
36.0,2024-05-12,13.0,3.0,2.0,3.0,2.0,1.0,3.0,3.0,5.0,0.0
37.0,2024-05-14,16.0,2.0,0.0,5.0,2.0,2.0,4.0,4.0,6.0,0.0
38.0,2024-05-17,17.0,2.0,3.0,5.0,3.0,0.0,1.0,1.0,6.0,4.0
39.0,2024-05-19,17.0,4.0,2.0,3.0,1.0,0.0,1.0,2.0,7.0,1.0
40.0,2024-05-21,23.0,2.0,1.0,9.0,4.0,0.0,4.0,3.0,9.0,2.0
41.0,2024-05-23,8.0,0.0,1.0,3.0,0.0,1.0,4.0,2.0,3.0,0.0
42.0,2024-05-25,22.0,0.0,1.0,9.0,1.0,0.0,5.0,0.0,9.0,4.0
43.0,2024-05-27,8.0,0.0,0.0,4.0,1.0,0.0,4.0,2.0,2.0,2.0
44.0,2025-04-19,19.0,4.0,0.0,5.0,2.0,1.0,0.0,4.0,7.0,1.0
45.0,2025-04-22,15.0,2.0,0.0,2.0,1.0,1.0,0.0,1.0,6.0,2.0
46.0,2025-04-25,6.0,1.0,1.0,2.0,2.0,0.0,4.0,0.0,1.0,4.0
47.0,2025-04-27,23.0,4.0,0.0,5.0,3.0,0.0,0.0,1.0,9.0,4.0
48.0,2025-04-29,21.0,0.0,4.0,5.0,0.0,0.0,1.0,3.0,5.0,8.0
49.0,2025-05-04,13.0,2.0,1.0,10.0,1.0,3.0,3.0,1.0,5.0,2.0
50.0,2025-05-06,23.0,5.0,2.0,6.0,1.0,1.0,1.0,2.0,8.0,5.0
51.0,2025-05-09,15.0,3.0,0.0,3.0,0.0,1.0,1.0,1.0,4.0,6.0
52.0,2025-05-11,20.0,0.0,3.0,4.0,3.0,0.0,1.0,4.0,7.0,2.0
53.0,2025-05-13,10.0,4.0,2.0,5.0,0.0,0.0,1.0,1.0,3.0,3.0
54.0,2025-05-21,14.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,6.0,1.0
55.0,2025-05-23,16.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,5.0,5.0
56.0,2025-05-25,19.0,2.0,1.0,3.0,3.0,1.0,1.0,1.0,6.0,6.0
